Name,Club,Age,Rating,Potential,Market Value (€M)
Leny Yoro,Manchester United,18,78,90,55.0
Pau Cubarsí,Barcelona,18,74,88,35.0
Antonio Silva,Benfica,20,79,89,45.0
Giorgio Scalvini,Atalanta,20,76,88,40.0
Jarrad Branthwaite,Everton,21,75,86,28.0
Joško Gvardiol,Manchester City,21,85,90,90.0
Malick Thiaw,AC Milan,22,76,85,22.0
William Saliba,Arsenal,23,84,88,75.0
Sven Botman,Newcastle United,23,82,86,45.0
Benoît Badiashile,Chelsea,23,78,84,28.0
Josip Šutalo,Napoli,24,76,84,18.0
Matthijs de Ligt,Bayern Munich,24,85,88,75.0
Alessandro Buongiorno,Torino,24,75,83,10.0
Jules Koundé,Barcelona,25,84,86,55.0
Alessandro Bastoni,Inter Milan,25,86,89,60.0
Gabriel Magalhães,Arsenal,26,83,84,60.0
Cristian Romero,Tottenham Hotspur,26,84,85,55.0
Éder Militão,Real Madrid,26,84,86,50.0
Rúben Dias,Manchester City,27,86,86,65.0
Manuel Akanji,Manchester City,28,82,82,20.0
Marquinhos,Paris Saint-Germain,29,88,88,45.0
Milan Škriniar,Paris Saint-Germain,29,84,84,30.0
John Stones,Manchester City,29,85,85,35.0
Pau Torres,Villarreal,28,82,83,30.0
Kalidou Koulibaly,Al Hilal,32,82,82,12.0
Stefan de Vrij,Inter Milan,33,81,81,8.0
Raphaël Varane,Manchester United,31,83,83,10.0
Virgil van Dijk,Liverpool,33,89,89,40.0
Thiago Silva,Fluminense,39,80,80,3.0
