Player Name,Club,Position,Metric,Value
José Luis Gayà,Valencia,Fullback,NPG,0
José Luis Gayà,Valencia,Fullback,NPXG,1.0
José Luis Gayà,Valencia,Fullback,Assists,1
José Luis Gayà,Valencia,Fullback,Passes attempted,996
José Luis Gayà,Valencia,Fullback,Pass Completion,77.8
José Luis Gayà,Valencia,Fullback,Yellow Cards,7
José Luis Gayà,Valencia,Fullback,Red Cards,0
José Luis Gayà,Valencia,Fullback,Progressive carries,29
José Luis Gayà,Valencia,Fullback,Progressive Passes,59
José Luis Gayà,Valencia,Fullback,Key passes,24
José Luis Gayà,Valencia,Fullback,Passes into final third,44
José Luis Gayà,Valencia,Fullback,Crosses,84
José Luis Gayà,Valencia,Fullback,Switches,5
José Luis Gayà,Valencia,Fullback,Through Balls,1
José Luis Gayà,Valencia,Fullback,Shot creating actions,39
José Luis Gayà,Valencia,Fullback,Tackles won,40
José Luis Gayà,Valencia,Fullback,Challenges won,60
José Luis Gayà,Valencia,Fullback,Blocks,16
José Luis Gayà,Valencia,Fullback,Aerials won,10
José Luis Gayà,Valencia,Fullback,Ball recoveries,93
Alejandro Balde,Barcelona,Fullback,NPG,0
Alejandro Balde,Barcelona,Fullback,NPXG,0.5
Alejandro Balde,Barcelona,Fullback,Assists,4
Alejandro Balde,Barcelona,Fullback,Passes attempted,1484
Alejandro Balde,Barcelona,Fullback,Pass Completion,88.0
Alejandro Balde,Barcelona,Fullback,Yellow Cards,2
Alejandro Balde,Barcelona,Fullback,Red Cards,0
Alejandro Balde,Barcelona,Fullback,Progressive carries,107
Alejandro Balde,Barcelona,Fullback,Progressive Passes,93
Alejandro Balde,Barcelona,Fullback,Key passes,26
Alejandro Balde,Barcelona,Fullback,Passes into final third,51
Alejandro Balde,Barcelona,Fullback,Crosses,67
Alejandro Balde,Barcelona,Fullback,Switches,2
Alejandro Balde,Barcelona,Fullback,Through Balls,3
Alejandro Balde,Barcelona,Fullback,Shot creating actions,76
Alejandro Balde,Barcelona,Fullback,Tackles won,10
Alejandro Balde,Barcelona,Fullback,Challenges won,NA
Alejandro Balde,Barcelona,Fullback,Blocks,24
Alejandro Balde,Barcelona,Fullback,Aerials won,16
Alejandro Balde,Barcelona,Fullback,Ball recoveries,122
Álex Grimaldo,Leverkusen,Fullback,NPG,2
Álex Grimaldo,Leverkusen,Fullback,NPXG,2.5
Álex Grimaldo,Leverkusen,Fullback,Assists,7
Álex Grimaldo,Leverkusen,Fullback,Passes attempted,2094
Álex Grimaldo,Leverkusen,Fullback,Pass Completion,81.2
Álex Grimaldo,Leverkusen,Fullback,Yellow Cards,6
Álex Grimaldo,Leverkusen,Fullback,Red Cards,1
Álex Grimaldo,Leverkusen,Fullback,Progressive carries,86
Álex Grimaldo,Leverkusen,Fullback,Progressive Passes,160
Álex Grimaldo,Leverkusen,Fullback,Key passes,73
Álex Grimaldo,Leverkusen,Fullback,Passes into final third,108
Álex Grimaldo,Leverkusen,Fullback,Crosses,217
Álex Grimaldo,Leverkusen,Fullback,Switches,10
Álex Grimaldo,Leverkusen,Fullback,Through Balls,4
Álex Grimaldo,Leverkusen,Fullback,Shot creating actions,129
Álex Grimaldo,Leverkusen,Fullback,Tackles won,14
Álex Grimaldo,Leverkusen,Fullback,Challenges won,NA
Álex Grimaldo,Leverkusen,Fullback,Blocks,22
Álex Grimaldo,Leverkusen,Fullback,Aerials won,16
Álex Grimaldo,Leverkusen,Fullback,Ball recoveries,142
Álex Moreno,Girona,Fullback,NPG,0
Álex Moreno,Girona,Fullback,NPXG,0.2
Álex Moreno,Girona,Fullback,Assists,1
Álex Moreno,Girona,Fullback,Passes attempted,428
Álex Moreno,Girona,Fullback,Pass Completion,72.0
Álex Moreno,Girona,Fullback,Yellow Cards,2
Álex Moreno,Girona,Fullback,Red Cards,0
Álex Moreno,Girona,Fullback,Progressive carries,26
Álex Moreno,Girona,Fullback,Progressive Passes,34
Álex Moreno,Girona,Fullback,Key passes,8
Álex Moreno,Girona,Fullback,Passes into final third,25
Álex Moreno,Girona,Fullback,Crosses,19
Álex Moreno,Girona,Fullback,Switches,1
Álex Moreno,Girona,Fullback,Through Balls,3
Álex Moreno,Girona,Fullback,Shot creating actions,16
Álex Moreno,Girona,Fullback,Tackles won,18
Álex Moreno,Girona,Fullback,Challenges won,NA
Álex Moreno,Girona,Fullback,Blocks,11
Álex Moreno,Girona,Fullback,Aerials won,3
Álex Moreno,Girona,Fullback,Ball recoveries,50
Alex Telles,Botafogo (RJ),Fullback,NPG,0
Alex Telles,Botafogo (RJ),Fullback,NPXG,NA
Alex Telles,Botafogo (RJ),Fullback,Assists,0
Alex Telles,Botafogo (RJ),Fullback,Passes attempted,NA
Alex Telles,Botafogo (RJ),Fullback,Pass Completion,NA
Alex Telles,Botafogo (RJ),Fullback,Yellow Cards,0
Alex Telles,Botafogo (RJ),Fullback,Red Cards,0
Alex Telles,Botafogo (RJ),Fullback,Progressive carries,NA
Alex Telles,Botafogo (RJ),Fullback,Progressive Passes,NA
Alex Telles,Botafogo (RJ),Fullback,Key passes,NA
Alex Telles,Botafogo (RJ),Fullback,Passes into final third,NA
Alex Telles,Botafogo (RJ),Fullback,Crosses,21
Alex Telles,Botafogo (RJ),Fullback,Switches,NA
Alex Telles,Botafogo (RJ),Fullback,Through Balls,NA
Alex Telles,Botafogo (RJ),Fullback,Shot creating actions,NA
Alex Telles,Botafogo (RJ),Fullback,Tackles won,4
Alex Telles,Botafogo (RJ),Fullback,Challenges won,NA
Alex Telles,Botafogo (RJ),Fullback,Blocks,NA
Alex Telles,Botafogo (RJ),Fullback,Aerials won,NA
Alex Telles,Botafogo (RJ),Fullback,Ball recoveries,NA
Alphonso Davies,Bayern Munich,Fullback,NPG,1
Alphonso Davies,Bayern Munich,Fullback,NPXG,1.2
Alphonso Davies,Bayern Munich,Fullback,Assists,2
Alphonso Davies,Bayern Munich,Fullback,Passes attempted,1272
Alphonso Davies,Bayern Munich,Fullback,Pass Completion,89.7
Alphonso Davies,Bayern Munich,Fullback,Yellow Cards,0
Alphonso Davies,Bayern Munich,Fullback,Red Cards,0
Alphonso Davies,Bayern Munich,Fullback,Progressive carries,81
Alphonso Davies,Bayern Munich,Fullback,Progressive Passes,120
Alphonso Davies,Bayern Munich,Fullback,Key passes,27
Alphonso Davies,Bayern Munich,Fullback,Passes into final third,95
Alphonso Davies,Bayern Munich,Fullback,Crosses,22
Alphonso Davies,Bayern Munich,Fullback,Switches,1
Alphonso Davies,Bayern Munich,Fullback,Through Balls,6
Alphonso Davies,Bayern Munich,Fullback,Shot creating actions,61
Alphonso Davies,Bayern Munich,Fullback,Tackles won,17
Alphonso Davies,Bayern Munich,Fullback,Challenges won,NA
Alphonso Davies,Bayern Munich,Fullback,Blocks,14
Alphonso Davies,Bayern Munich,Fullback,Aerials won,9
Alphonso Davies,Bayern Munich,Fullback,Ball recoveries,115
Andrew Robertson,Liverpool,Fullback,NPG,0
Andrew Robertson,Liverpool,Fullback,NPXG,1.2
Andrew Robertson,Liverpool,Fullback,Assists,1
Andrew Robertson,Liverpool,Fullback,Passes attempted,1885
Andrew Robertson,Liverpool,Fullback,Pass Completion,82.7
Andrew Robertson,Liverpool,Fullback,Yellow Cards,3
Andrew Robertson,Liverpool,Fullback,Red Cards,1
Andrew Robertson,Liverpool,Fullback,Progressive carries,64
Andrew Robertson,Liverpool,Fullback,Progressive Passes,176
Andrew Robertson,Liverpool,Fullback,Key passes,40
Andrew Robertson,Liverpool,Fullback,Passes into final third,150
Andrew Robertson,Liverpool,Fullback,Crosses,147
Andrew Robertson,Liverpool,Fullback,Switches,6
Andrew Robertson,Liverpool,Fullback,Through Balls,4
Andrew Robertson,Liverpool,Fullback,Shot creating actions,80
Andrew Robertson,Liverpool,Fullback,Tackles won,22
Andrew Robertson,Liverpool,Fullback,Challenges won,NA
Andrew Robertson,Liverpool,Fullback,Blocks,10
Andrew Robertson,Liverpool,Fullback,Aerials won,7
Andrew Robertson,Liverpool,Fullback,Ball recoveries,105
Borna Sosa,Crystal Palace,Fullback,NPG,0
Borna Sosa,Crystal Palace,Fullback,NPXG,0.3
Borna Sosa,Crystal Palace,Fullback,Assists,0
Borna Sosa,Crystal Palace,Fullback,Passes attempted,686
Borna Sosa,Crystal Palace,Fullback,Pass Completion,79.6
Borna Sosa,Crystal Palace,Fullback,Yellow Cards,0
Borna Sosa,Crystal Palace,Fullback,Red Cards,0
Borna Sosa,Crystal Palace,Fullback,Progressive carries,13
