Name,Club,Age,Rating,Potential,Market Value (€M)
Zeno Debast,Anderlecht,17,65,85,4.5
Samuel Iling-Junior,Tottenham,18,68,86,6.0
Owen Beck,Leeds United,18,64,84,3.5
Bryan Zaragoza,Granada,19,69,87,8.0
Sergio Gómez,Girona / Man City,20,71,88,12.5
Milos Kerkez,Liverpool,21,74,89,25.0
Alejandro Balde,Barcelona,21,81,90,55.0
Nuno Mendes,PSG,22,82,90,60.0
Piero Hincapié,Bayer Leverkusen,23,78,88,45.0
Destiny Udogie,Tottenham Hotspur,23,79,89,50.0
Alex Grimaldo,Benfica,25,80,82,28.0
Theo Hernández,AC Milan,26,87,87,70.0
Alphonso Davies,Bayern Munich,26,88,90,65.0
Fran García,Real Madrid,25,78,85,20.0
José Gayà,Valencia,29,82,82,22.0
Andrew Robertson,Liverpool,29,85,85,35.0
Borna Sosa,Stuttgart,27,79,81,18.0
Juan Miranda,Betis,26,76,80,6.0
Raphaël Guerreiro,Borussia Dortmund,30,83,83,18.0
Alex Telles,Galatasaray,31,80,80,7.0
Lucas Digne,Brest,31,78,78,8.0
Christian Gunter,Freiburg,31,76,76,6.5
Ricardo Rodríguez,Torino,33,74,74,3.0
Jordi Alba,Inter Miami,35,75,75,3.5
Quentin Merlin,Nantes,21,70,84,6.5
Octavio Ontivero,Lanús,18,62,84,2.0
Josko Gvardiol,Manchester City,21,84,92,70.0
Rayan Aït-Nouri,Wolves,23,77,85,14.0
Alex Moreno,Aston Villa,31,79,79,9.0
Robin Gosens,Union Berlin,30,80,80,12.0
