Name,Club,Age,Rating,Potential,Market Value (€M)
Guillaume Restes,Toulouse,20,78,88,20.0
Dennis Seimen,SC Paderborn,19,66,84,2.5
Jonas Urbig,Bayern Munich,22,73,84,12.0
Bart Verbruggen,Brighton & Hove Albion,23,76,86,30.0
Lucas Chevalier,Paris Saint-Germain,23,80,88,30.0
Anatoliy Trubin,Benfica,24,78,87,28.0
Gavin Bazunu,Southampton,23,73,83,9.0
James Trafford,Manchester City,22,73,85,22.0
Marco Carnesecchi,Atalanta,25,82,88,25.0
Gregor Kobel,Borussia Dortmund,27,88,90,40.0
Diogo Costa,FC Porto,26,84,90,40.0
Giorgi Mamardashvili,Liverpool,25,85,89,30.0
Gianluigi Donnarumma,Manchester City,26,89,91,40.0
Mike Maignan,AC Milan,30,87,89,25.0
Emiliano Martínez,Aston Villa,33,86,87,20.0
Ederson,Fenerbahçe,32,87,88,18.0
Alisson Becker,Liverpool,32,89,89,20.0
Thibaut Courtois,Real Madrid,33,89,89,20.0
Marc-André ter Stegen,FC Barcelona,33,89,89,8.0
Jan Oblak,Atlético Madrid,32,88,88,20.0
Manuel Neuer,Bayern Munich,39,84,84,4.0
Nick Pope,Newcastle United,33,85,85,8.0
David Raya,Arsenal,30,86,88,40.0
Unai Simón,Athletic Club,28,86,86,28.0
Dean Henderson,Crystal Palace,28,80,82,20.0
Wojciech Szczęsny,FC Barcelona,35,85,85,1.0
Rui Patrício,Free Agent,37,79,79,0.8
Yann Sommer,Inter Milan,36,84,84,4.0
Neto,Botafogo,36,76,77,1.5
Kepa Arrizabalaga,Real Madrid,29,82,82,14.0
