Player,Club,Market Value (M),Archetype,Cluster,PC1,PC2,Saves,Crosses Stopped,Touches
David Raya,Arsenal,40.0,Cluster 0,0,2.8959937888039726,1.4428109224664816,86.0,53.0,1480.0
Bart Verbruggen,Brighton & Hove Albion,30.0,Cluster 0,0,1.5684468290696516,-0.29184134084402835,87.0,27.0,1406.0
Giorgi Mamardashvili,Liverpool,30.0,Cluster 0,0,1.5246800604013564,0.4377550155472443,89.0,33.0,1163.0
Lucas Chevalier,Paris Saint-Germain,30.0,Cluster 0,0,0.981048041054844,-0.4077162751325811,91.0,21.0,1150.0
Marco Carnesecchi,Atalanta,25.0,Cluster 0,0,1.166062028676274,-0.5087621723867465,97.0,21.0,1178.0
James Trafford,Manchester City,22.0,Cluster 0,0,2.294241275944161,-0.6123101015945733,85.0,30.0,1813.0
Dean Henderson,Crystal Palace,20.0,Cluster 0,0,1.889866035125923,-0.09556698613722878,101.0,30.0,1308.0
Emiliano Martínez,Aston Villa,20.0,Cluster 0,0,3.2267446836225955,1.5902599606844579,96.0,56.0,1449.0
Jan Oblak,Atlético Madrid,20.0,Cluster 0,0,0.9713583090189924,0.33271777642407624,86.0,28.0,1005.0
Gregor Kobel,Dortmund,19.36,Cluster 0,0,1.0670271196041148,-0.4626582272825471,82.0,22.0,1312.0
Kepa Arrizabalaga,Arsenal,19.36,Cluster 0,0,1.0254708546630795,-0.29414281194750164,95.0,22.0,1087.0
Mike Maignan,Milan,19.36,Cluster 0,0,2.111628583908869,-0.7777222331349872,97.0,26.0,1635.0
Nick Pope,Newcastle United,8.0,Cluster 0,0,1.2885330166098674,1.2850115561667093,86.0,39.0,872.0
Marc-André ter Stegen,Barcelona,19.36,Cluster 1,1,-2.9966206184580426,0.4938056149046481,13.0,5.0,262.0
Neto,Botafogo (RJ),19.36,Cluster 1,1,-3.4838716639381873,0.564717440068042,11.0,2.0,70.0
Rui Patrício,Al Ain,19.36,Cluster 1,1,-3.5216879182169247,0.3741878841118481,11.0,0.0,107.0
Wojciech Szczęsny,Barcelona,19.36,Cluster 1,1,-2.3564278986942973,0.2381116196599092,21.0,7.0,492.0
Jonas Urbig,Bayern Munich,12.0,Cluster 1,1,-2.709807270297573,0.3340990006815757,22.0,5.0,310.0
Gavin Bazunu,Southampton,9.0,Cluster 1,1,-3.296367686072061,0.19719077589611264,13.0,0.0,222.0
Diogo Costa,FC Porto,40.0,Cluster 2,2,-4.459300058486322e-18,7.315404166295341e-17,64.41379310344827,19.379310344827587,971.5862068965517
Gianluigi Donnarumma,Manchester City,40.0,Cluster 2,2,-1.2662029729882378,-0.09660793740474127,49.0,10.0,677.0
Gregor Kobel,Borussia Dortmund,40.0,Cluster 2,2,-4.459300058486322e-18,7.315404166295341e-17,64.41379310344827,19.379310344827587,971.5862068965517
Anatoliy Trubin,Benfica,28.0,Cluster 2,2,-4.459300058486322e-18,7.315404166295341e-17,64.41379310344827,19.379310344827587,971.5862068965517
Unai Simón,Athletic Club,28.0,Cluster 2,2,-0.8435675382640793,0.5193552503717435,47.0,19.0,704.0
Mike Maignan,AC Milan,25.0,Cluster 2,2,-4.459300058486322e-18,7.315404166295341e-17,64.41379310344827,19.379310344827587,971.5862068965517
Alisson Becker,Liverpool,20.0,Cluster 2,2,-4.459300058486322e-18,7.315404166295341e-17,64.41379310344827,19.379310344827587,971.5862068965517
Guillaume Restes,Toulouse,20.0,Cluster 2,2,-0.9972682350159326,-0.7997750303383473,58.0,5.0,867.0
Thibaut Courtois,Real Madrid,20.0,Cluster 2,2,0.29310493821385,-0.5168185177402959,76.0,16.0,1088.0
Alisson,Liverpool,19.36,Cluster 2,2,-0.1363185901241826,-0.7303593347544521,73.0,11.0,1010.0
Anatolii Trubin,Benfica,19.36,Cluster 2,2,0.2160995051534307,0.1809068529886815,72.0,22.0,915.0
Dennis Seimen,Paderborn 07,19.36,Cluster 2,2,-4.459300058486322e-18,7.315404166295341e-17,64.41379310344827,19.379310344827587,971.5862068965517
Diogo Costa,Porto,19.36,Cluster 2,2,0.27683871130802534,-0.3602051118123846,57.0,19.0,1275.0
Yann Sommer,Internazionale,19.36,Cluster 2,2,0.8514702382679031,-1.1481464460028732,84.0,14.0,1388.0
Ederson,Fenerbahçe,18.0,Cluster 2,2,-0.5675702454557162,-0.3323102182711345,53.0,13.0,975.0
Kepa Arrizabalaga,Real Madrid,14.0,Cluster 2,2,-4.459300058486322e-18,7.315404166295341e-17,64.41379310344827,19.379310344827587,971.5862068965517
Marc-André ter Stegen,FC Barcelona,8.0,Cluster 2,2,-4.459300058486322e-18,7.315404166295341e-17,64.41379310344827,19.379310344827587,971.5862068965517
Manuel Neuer,Bayern Munich,4.0,Cluster 2,2,-1.472903381921675,-0.5559869251871078,30.0,6.0,956.0
Yann Sommer,Inter Milan,4.0,Cluster 2,2,-4.459300058486322e-18,7.315404166295341e-17,64.41379310344827,19.379310344827587,971.5862068965517
Dennis Seimen,SC Paderborn,2.5,Cluster 2,2,-4.459300058486322e-18,7.315404166295341e-17,64.41379310344827,19.379310344827587,971.5862068965517
Neto,Botafogo,1.5,Cluster 2,2,-4.459300058486322e-18,7.315404166295341e-17,64.41379310344827,19.379310344827587,971.5862068965517
Wojciech Szczęsny,FC Barcelona,1.0,Cluster 2,2,-4.459300058486322e-18,7.315404166295341e-17,64.41379310344827,19.379310344827587,971.5862068965517
Rui Patrício,Free Agent,0.8,Cluster 2,2,-4.459300058486322e-18,7.315404166295341e-17,64.41379310344827,19.379310344827587,971.5862068965517
