Name,Club,Age,Rating,Potential,Market Value (€M)
Arda Güler,Real Madrid,19,77,88,35.0
Florian Wirtz,Bayer Leverkusen,21,89,92,110.0
Jamal Musiala,Bayern Munich,21,88,93,120.0
Xavi Simons,RB Leipzig / Tottenham (loan),21,84,90,35.0
Giovanni Reyna,Borussia Dortmund,21,77,85,18.0
Cole Palmer,Chelsea,22,87,91,85.0
Fabio Miretti,Juventus,22,76,85,16.0
Oihan Sancet,Athletic Club,24,82,86,22.0
Dominik Szoboszlai,Liverpool,24,83,89,60.0
Kang-in Lee,PSG,24,78,83,20.0
Pedro Gonçalves (Pote),Sporting CP,26,83,85,25.0
Eberechi Eze,Crystal Palace,26,81,85,28.0
Dani Olmo,RB Leipzig / Barcelona,26,85,88,30.0
Julian Brandt,Borussia Dortmund,27,83,85,28.0
Bernardo Silva,Manchester City,29,86,86,65.0
Adrien Rabiot,Juventus / AC Milan,29,83,83,15.0
Otávio,Al Nassr,29,82,82,10.0
Malcom,Al Hilal,29,82,82,12.0
Paulo Dybala,AS Roma,31,86,86,10.0
Lucas Paquetá,West Ham United,31,83,84,35.0
Bruno Fernandes,Manchester United,30,87,87,50.0
Luciano Acosta,FC Cincinnati,30,81,81,8.0
Isco,Real Betis,32,84,84,6.0
Thomas Müller,Bayern Munich,35,82,82,8.0
Ángel Di María,Benfica,36,81,81,5.0
