Name,Club,Position,Metric,Value
Axel Witsel,Girona,Midfielder,Goals,0
Axel Witsel,Girona,Midfielder,Assists,1
Axel Witsel,Girona,Midfielder,NPG,0
Axel Witsel,Girona,Midfielder,XG,0.0
Axel Witsel,Girona,Midfielder,XA,0.5
Axel Witsel,Girona,Midfielder,Progressive passes,21
Axel Witsel,Girona,Midfielder,Progressive carries,2
Axel Witsel,Girona,Midfielder,Passes completed,494
Axel Witsel,Girona,Midfielder,Passes attempted,545
Axel Witsel,Girona,Midfielder,Key passes,2
Axel Witsel,Girona,Midfielder,Through balls,0
Axel Witsel,Girona,Midfielder,Switches,2
Axel Witsel,Girona,Midfielder,Crosses,0
Axel Witsel,Girona,Midfielder,Corners,0
Axel Witsel,Girona,Midfielder,Shot creating Actions,4
Axel Witsel,Girona,Midfielder,Goal Creating Actions,2
Axel Witsel,Girona,Midfielder,Tackles,16
Axel Witsel,Girona,Midfielder,Dribblers tackles,NA
Axel Witsel,Girona,Midfielder,Shots blocked,8
Axel Witsel,Girona,Midfielder,Blocks,15
Axel Witsel,Girona,Midfielder,Interceptions,11
Axel Witsel,Girona,Midfielder,Errors,1
Axel Witsel,Girona,Midfielder,Touches,645
Axel Witsel,Girona,Midfielder,Miscontrols,9
Axel Witsel,Girona,Midfielder,Dispossessed,0
Axel Witsel,Girona,Midfielder,Yellow Cards,1
Axel Witsel,Girona,Midfielder,Red Cards,0
Axel Witsel,Girona,Midfielder,Fouls committed,4
Axel Witsel,Girona,Midfielder,Aerials Won,23
Boubacar Kamara,Aston Villa,Midfielder,Goals,0
Boubacar Kamara,Aston Villa,Midfielder,Assists,0
Boubacar Kamara,Aston Villa,Midfielder,NPG,0
Boubacar Kamara,Aston Villa,Midfielder,XG,0.8
Boubacar Kamara,Aston Villa,Midfielder,XA,0.9
Boubacar Kamara,Aston Villa,Midfielder,Progressive passes,85
Boubacar Kamara,Aston Villa,Midfielder,Progressive carries,19
Boubacar Kamara,Aston Villa,Midfielder,Passes completed,825
Boubacar Kamara,Aston Villa,Midfielder,Passes attempted,931
Boubacar Kamara,Aston Villa,Midfielder,Key passes,11
Boubacar Kamara,Aston Villa,Midfielder,Through balls,5
Boubacar Kamara,Aston Villa,Midfielder,Switches,0
Boubacar Kamara,Aston Villa,Midfielder,Crosses,1
Boubacar Kamara,Aston Villa,Midfielder,Corners,0
Boubacar Kamara,Aston Villa,Midfielder,Shot creating Actions,27
Boubacar Kamara,Aston Villa,Midfielder,Goal Creating Actions,2
Boubacar Kamara,Aston Villa,Midfielder,Tackles,50
Boubacar Kamara,Aston Villa,Midfielder,Dribblers tackles,NA
Boubacar Kamara,Aston Villa,Midfielder,Shots blocked,7
Boubacar Kamara,Aston Villa,Midfielder,Blocks,19
Boubacar Kamara,Aston Villa,Midfielder,Interceptions,19
Boubacar Kamara,Aston Villa,Midfielder,Errors,3
Boubacar Kamara,Aston Villa,Midfielder,Touches,1113
Boubacar Kamara,Aston Villa,Midfielder,Miscontrols,12
Boubacar Kamara,Aston Villa,Midfielder,Dispossessed,17
Boubacar Kamara,Aston Villa,Midfielder,Yellow Cards,0
Boubacar Kamara,Aston Villa,Midfielder,Red Cards,0
Boubacar Kamara,Aston Villa,Midfielder,Fouls committed,30
Boubacar Kamara,Aston Villa,Midfielder,Aerials Won,21
Casemiro,Manchester United,Midfielder,Goals,1
Casemiro,Manchester United,Midfielder,Assists,0
Casemiro,Manchester United,Midfielder,NPG,1
Casemiro,Manchester United,Midfielder,XG,1.9
Casemiro,Manchester United,Midfielder,XA,2.3
Casemiro,Manchester United,Midfielder,Progressive passes,84
Casemiro,Manchester United,Midfielder,Progressive carries,4
Casemiro,Manchester United,Midfielder,Passes completed,780
Casemiro,Manchester United,Midfielder,Passes attempted,990
Casemiro,Manchester United,Midfielder,Key passes,22
Casemiro,Manchester United,Midfielder,Through balls,9
Casemiro,Manchester United,Midfielder,Switches,9
Casemiro,Manchester United,Midfielder,Crosses,20
Casemiro,Manchester United,Midfielder,Corners,0
Casemiro,Manchester United,Midfielder,Shot creating Actions,53
Casemiro,Manchester United,Midfielder,Goal Creating Actions,4
Casemiro,Manchester United,Midfielder,Tackles,83
Casemiro,Manchester United,Midfielder,Dribblers tackles,NA
Casemiro,Manchester United,Midfielder,Shots blocked,10
Casemiro,Manchester United,Midfielder,Blocks,39
Casemiro,Manchester United,Midfielder,Interceptions,14
Casemiro,Manchester United,Midfielder,Errors,3
Casemiro,Manchester United,Midfielder,Touches,1250
Casemiro,Manchester United,Midfielder,Miscontrols,12
Casemiro,Manchester United,Midfielder,Dispossessed,10
Casemiro,Manchester United,Midfielder,Yellow Cards,5
Casemiro,Manchester United,Midfielder,Red Cards,0
Casemiro,Manchester United,Midfielder,Fouls committed,20
Casemiro,Manchester United,Midfielder,Aerials Won,36
Declan Rice,Arsenal,Midfielder,Goals,4
Declan Rice,Arsenal,Midfielder,Assists,7
Declan Rice,Arsenal,Midfielder,NPG,4
Declan Rice,Arsenal,Midfielder,XG,3.5
Declan Rice,Arsenal,Midfielder,XA,6.6
Declan Rice,Arsenal,Midfielder,Progressive passes,192
Declan Rice,Arsenal,Midfielder,Progressive carries,90
Declan Rice,Arsenal,Midfielder,Passes completed,1376
Declan Rice,Arsenal,Midfielder,Passes attempted,1650
Declan Rice,Arsenal,Midfielder,Key passes,59
Declan Rice,Arsenal,Midfielder,Through balls,5
Declan Rice,Arsenal,Midfielder,Switches,17
Declan Rice,Arsenal,Midfielder,Crosses,164
Declan Rice,Arsenal,Midfielder,Corners,108
Declan Rice,Arsenal,Midfielder,Shot creating Actions,111
Declan Rice,Arsenal,Midfielder,Goal Creating Actions,10
Declan Rice,Arsenal,Midfielder,Tackles,53
Declan Rice,Arsenal,Midfielder,Dribblers tackles,NA
Declan Rice,Arsenal,Midfielder,Shots blocked,13
Declan Rice,Arsenal,Midfielder,Blocks,27
Declan Rice,Arsenal,Midfielder,Interceptions,25
Declan Rice,Arsenal,Midfielder,Errors,0
Declan Rice,Arsenal,Midfielder,Touches,1948
Declan Rice,Arsenal,Midfielder,Miscontrols,36
Declan Rice,Arsenal,Midfielder,Dispossessed,32
Declan Rice,Arsenal,Midfielder,Yellow Cards,7
Declan Rice,Arsenal,Midfielder,Red Cards,1
Declan Rice,Arsenal,Midfielder,Fouls committed,21
Declan Rice,Arsenal,Midfielder,Aerials Won,37
Denis Zakaria,Monaco,Midfielder,Goals,6
Denis Zakaria,Monaco,Midfielder,Assists,4
Denis Zakaria,Monaco,Midfielder,NPG,4
Denis Zakaria,Monaco,Midfielder,XG,5.2
Denis Zakaria,Monaco,Midfielder,XA,1.4
Denis Zakaria,Monaco,Midfielder,Progressive passes,113
Denis Zakaria,Monaco,Midfielder,Progressive carries,27
Denis Zakaria,Monaco,Midfielder,Passes completed,1062
Denis Zakaria,Monaco,Midfielder,Passes attempted,1175
Denis Zakaria,Monaco,Midfielder,Key passes,16
Denis Zakaria,Monaco,Midfielder,Through balls,4
Denis Zakaria,Monaco,Midfielder,Switches,2
Denis Zakaria,Monaco,Midfielder,Crosses,7
Denis Zakaria,Monaco,Midfielder,Corners,0
