Name,Club,Age,Rating,Potential,Market Value (€M)
Romeo Lavia,Chelsea,19,78,90,45.0
Youssouf Fofana,Monaco,20,74,86,28.0
Sofyan Amrabat,Manchester United,27,82,83,30.0
Joshua Kimmich,Bayern Munich,29,88,88,55.0
Rodri,Manchester City,28,89,89,70.0
Casemiro,Manchester United,32,85,85,22.0
Declan Rice,Arsenal,25,86,89,60.0
Wilfred Ndidi,Leicester City,27,81,82,28.0
Denis Zakaria,Juventus,27,80,82,25.0
Charbel Gomez,Unknown,19,70,88,10.0
Boubacar Kamara,Aston Villa,24,79,85,20.0
Rodrigo De Paul,Atletico Madrid,30,82,82,18.0
Marcel Sabitzer,Dortmund,31,80,80,12.0
Axel Witsel,Atletico Madrid,35,75,75,3.5
Thomas Delaney,Sevilla,34,74,74,3.0
