Name,Club,Age,Rating,Potential,Market Value (€M)
Ilaix Moriba,Borussia Dortmund,20,75,89,30.0
Fabio Carvalho,RB Leipzig,20,74,88,28.0
Florian Wirtz,Bayer Leverkusen,20,82,92,60.0
Pedri,Barcelona,21,84,92,70.0
Jude Bellingham,Real Madrid,21,88,94,85.0
Ryan Gravenberch,Liverpool,22,80,89,50.0
Aurelien Tchouameni,Real Madrid,23,85,90,65.0
Nicolo Barella,Inter Milan,26,86,87,55.0
Leon Goretzka,Bayern Munich,29,84,84,35.0
Frenkie de Jong,Barcelona,26,87,89,60.0
Sergej Milinković-Savić,Al Hilal,29,84,84,30.0
Mason Mount,Manchester United,26,83,85,40.0
Rodrigo Bentancur,Tottenham,27,82,84,28.0
Matteo Guendouzi,Marseille,25,80,85,15.0
Nicolo Zaniolo,Aston Villa,24,79,86,22.0
Florian Neuhaus,Borussia Mönchengladbach,27,81,82,20.0
Piotr Zieliński,Napoli,30,82,82,25.0
Leandro Paredes,Juventus,30,82,82,20.0
Jordan Henderson,Al Ettifaq,34,78,78,5.0
Georginio Wijnaldum,AS Roma,33,79,79,8.0
Bruno Guimarães,Newcastle United,26,87,89,65.0
Martin Ødegaard,Arsenal,25,88,90,70.0
Weston McKennie,Juventus,25,81,85,25.0
Franck Kessié,Al-Ahli,28,82,83,22.0
Ismaël Bennacer,AC Milan,26,83,85,30.0
Nicolo Rovella,Lazio,23,78,84,18.0
Xavi Simons,RB Leipzig,20,79,88,35.0
André-Frank Zambo Anguissa,Napoli,29,83,83,28.0
Conor Gallagher,Chelsea,23,80,86,28.0
Youri Tielemans,Aston Villa,26,82,85,30.0
Carlos Soler,PSG,27,83,85,35.0
Christian Eriksen,Manchester United,32,80,80,15.0
Houssem Aouar,Lyon,25,80,84,18.0
