Player Name,Club,Position,Cluster,Archetype,Aerials Won,Assists,Ball recoveries,Blocks,Corners,Crosses,Dispossessed,Errors,Fouls committed,GCA Shots,Goal Creating Actions,Goals,Interceptions,Key passes,Miscontrols,NPG,Offsides,Passes Recieved,Passes attempted,Passes completed,Progressive carries,Progressive passes,Red Cards,SCA Take Ons,Shot creating Actions,Shots blocked,Switches,Tackles,Through balls,Touches,XA,XG,Yellow Cards
Alexander Isak,Liverpool,ST,0,Target Man,26.0,6.0,55.0,18.0,0.0,16.0,55.0,1.0,27.0,0.0,14.0,23.0,3.0,41.0,66.0,19.0,20.0,740.0,689.0,519.0,83.0,88.0,0.0,8.0,92.0,2.0,3.0,12.0,6.0,1025.0,4.3,20.3,1.0
Alexander Sørloth,Atlético Madrid,ST,2,Target Man,98.0,2.0,41.0,6.0,0.0,5.0,32.0,0.0,26.0,1.0,5.0,20.0,1.0,13.0,63.0,19.0,8.0,454.0,359.0,229.0,32.0,31.0,0.0,4.0,30.0,1.0,0.0,9.0,1.0,602.0,1.6,16.8,4.0
Antoine Griezmann,Atlético Madrid,ST,0,Target Man,21.0,7.0,93.0,20.0,0.0,34.25,20.0,1.0,11.0,1.0,13.0,8.0,6.0,48.0,41.0,7.0,14.0,1195.0,1067.5,862.0,46.0,128.0,0.0,0.0,93.0,1.0,9.0,30.0,12.0,1558.0,7.1,7.4,2.0
Benjamin Šeško,Manchester United,ST,2,Target Man,70.0,5.0,62.0,15.0,0.0,7.0,55.0,0.0,26.0,2.0,9.0,13.0,5.0,19.0,66.0,11.0,18.0,692.0,614.0,415.0,47.0,46.0,0.0,11.0,51.0,4.0,1.0,7.0,3.0,901.0,2.1,10.0,2.0
Darwin Núñez,Al-Hilal,ST,1,Target Man,20.0,2.0,41.0,6.0,0.0,3.0,21.0,0.0,27.0,0.0,4.0,5.0,4.0,11.0,24.0,5.0,12.0,248.0,230.0,163.0,23.0,27.0,0.0,4.0,31.0,0.0,6.0,21.0,1.0,366.0,1.3,5.8,8.0
Dušan Vlahović,Juventus,ST,2,Target Man,39.0,4.0,36.0,7.0,0.0,9.0,28.0,2.5,27.0,0.0,8.0,10.0,1.0,15.0,51.0,6.0,12.0,431.0,366.0,253.0,27.0,22.0,0.0,6.0,41.0,3.0,4.0,4.0,3.0,564.0,1.3,12.3,3.0
Erling Haaland,Manchester City,ST,2,Target Man,57.0,3.0,34.0,12.0,0.0,3.0,27.0,0.0,24.0,1.0,9.0,22.0,5.0,29.0,45.0,19.0,4.0,478.0,381.0,255.0,24.0,20.0,0.0,8.0,71.0,1.0,0.0,11.0,1.0,639.0,3.0,22.0,2.0
Evan Ferguson,Roma,ST,1,Target Man,4.0,0.0,10.0,3.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,5.0,1.0,0.0,52.0,58.0,43.0,2.0,1.0,0.0,1.0,4.0,1.0,0.0,4.0,0.0,88.0,0.4,0.5,0.0
Gonçalo Ramos,Paris Saint-Germain,ST,1,Target Man,20.0,3.0,18.0,5.0,0.0,1.0,11.0,0.0,8.0,1.0,6.0,10.0,0.0,15.0,16.0,8.0,9.0,282.0,241.0,193.0,11.0,24.0,0.0,0.0,30.0,1.0,0.0,11.0,2.0,353.0,2.2,13.6,1.0
Harry Kane,Bayern Munich,ST,0,Target Man,29.0,9.0,61.0,16.0,0.0,13.0,22.0,0.0,9.0,4.0,21.0,26.0,2.0,35.0,41.0,17.0,16.0,716.0,645.0,509.0,29.0,97.0,0.0,9.0,89.0,2.0,14.0,13.0,13.5,917.0,5.3,20.3,5.0
Hugo Ekitike,Liverpool,ST,0,Target Man,52.0,8.0,87.0,13.0,0.0,17.0,34.0,0.0,39.0,0.0,12.0,15.0,7.0,44.0,99.0,14.0,19.0,777.0,644.0,486.0,93.0,53.0,0.0,14.0,101.0,1.0,5.0,16.0,6.0,1054.0,6.8,21.6,1.0
Jonathan David,Juventus,ST,2,Target Man,16.0,5.0,66.0,13.0,0.0,4.0,40.0,1.0,25.0,1.0,8.0,16.0,7.0,36.0,68.0,10.0,10.0,717.0,686.0,563.0,40.0,65.0,0.0,4.0,74.0,2.0,3.0,24.0,4.0,952.0,4.4,16.2,4.0
Julián Álvarez,Atlético Madrid,ST,0,Target Man,13.0,4.0,75.0,14.0,0.0,34.25,40.0,1.0,26.0,3.0,15.0,17.0,2.0,41.0,62.0,13.0,9.0,892.0,966.0,717.0,79.0,92.0,0.0,9.0,108.0,0.0,12.0,25.0,13.5,1238.0,5.3,14.1,5.0
Kai Havertz,Arsenal,ST,2,Target Man,63.0,3.0,41.0,23.0,0.0,11.0,23.0,1.0,38.0,1.0,3.0,9.0,6.0,17.0,44.0,9.0,14.0,584.0,519.0,407.0,35.0,61.0,0.0,1.0,42.0,4.0,0.0,16.0,1.0,785.0,2.4,9.5,5.0
Kylian Mbappé,Real Madrid,ST,0,Target Man,4.0,3.0,36.0,3.0,0.0,34.25,49.0,1.0,25.0,3.0,15.0,31.0,1.0,51.0,84.0,24.0,30.25,1195.0,1067.5,862.0,104.5,128.0,0.0,18.25,133.0,0.0,15.0,8.0,6.0,1558.0,7.7,25.9,3.0
Lautaro Martínez,Internazionale,ST,2,Target Man,35.0,3.0,73.0,21.0,0.0,13.0,54.0,0.0,41.0,2.0,8.0,12.0,10.0,36.0,70.0,12.0,22.0,754.0,634.0,472.0,34.0,68.0,0.0,2.0,77.0,3.0,10.0,30.0,9.0,981.0,4.3,13.5,1.0
Loïs Openda,Juventus,ST,2,Target Man,19.0,5.0,54.0,19.0,0.0,27.0,27.0,0.0,29.0,2.0,10.0,9.0,5.0,28.0,82.0,9.0,27.0,718.0,591.0,377.0,58.0,47.0,0.0,4.0,66.0,1.0,6.0,9.0,2.0,904.0,3.4,9.0,5.0
Marcus Thuram,Internazionale,ST,2,Target Man,45.0,4.0,71.0,16.0,0.0,13.0,29.0,0.0,30.0,1.0,16.0,14.0,3.0,39.0,55.0,14.0,13.0,612.0,559.0,412.0,62.0,53.0,0.0,7.0,90.0,3.0,2.0,18.0,4.0,830.0,4.4,9.9,1.0
Mateo Retegui,Al Qadisiyah,ST,2,Target Man,51.0,8.0,69.0,7.0,0.0,15.0,48.0,0.0,32.0,2.0,14.0,25.0,4.0,38.0,96.0,21.0,6.0,704.0,575.0,440.0,21.0,46.0,0.0,2.0,76.0,0.0,6.0,14.0,2.0,874.0,4.9,18.9,3.0
Nicolas Jackson,Bayern Munich,ST,2,Target Man,21.0,5.0,48.0,15.0,0.0,3.0,41.0,0.0,35.0,1.0,10.0,10.0,3.0,28.0,71.0,10.0,23.0,514.0,399.0,303.0,47.0,38.0,0.0,9.0,69.0,2.0,0.0,22.0,1.0,687.0,4.3,12.3,7.0
Ollie Watkins,Aston Villa,ST,2,Target Man,52.0,8.0,43.0,11.0,0.0,7.0,50.0,2.0,29.0,1.0,12.0,16.0,8.0,24.0,60.0,14.0,16.0,552.0,424.0,307.0,55.0,31.0,0.0,4.0,53.0,3.0,1.0,10.0,1.0,695.0,3.3,15.3,2.0
Rasmus Højlund,Napoli,ST,1,Target Man,31.0,0.0,35.0,6.0,0.0,8.0,33.0,0.0,17.0,0.0,1.0,4.0,2.0,16.0,63.0,4.0,13.0,408.0,336.0,251.0,28.0,18.0,0.0,3.0,34.0,0.0,0.0,3.0,2.0,515.0,1.8,5.3,2.0
Robert Lewandowski,Barcelona,ST,2,Target Man,37.0,2.0,45.0,14.0,0.0,5.0,45.0,0.0,30.0,1.0,3.0,27.0,3.0,19.0,75.0,24.0,17.0,667.0,522.0,383.0,27.0,48.0,0.0,4.0,50.0,2.0,6.0,10.0,3.0,841.0,2.3,27.1,1.0
Santiago Giménez,Milan,ST,1,Target Man,12.0,1.0,25.0,5.0,0.0,2.0,15.0,0.0,3.0,1.0,2.0,7.0,0.0,11.0,22.0,5.0,7.0,149.0,102.0,65.0,7.0,8.0,0.0,2.0,19.0,0.0,0.0,5.0,0.0,207.0,1.4,7.2,1.0
Serhou Guirassy,Dortmund,ST,2,Target Man,99.5,4.0,45.0,10.0,0.0,1.0,30.0,0.0,16.0,3.0,10.0,21.0,4.0,25.0,76.0,18.0,12.0,747.0,627.0,456.0,25.0,43.0,0.0,1.0,53.0,3.0,3.0,7.0,9.0,965.0,3.9,22.7,4.0
Tammy Abraham,Beşiktaş,ST,1,Target Man,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Viktor Gyökeres,Arsenal,ST,0,Target Man,36.0,7.0,75.0,13.0,0.0,25.0,55.0,0.0,24.0,2.0,27.0,39.0,6.0,61.0,94.0,27.0,9.0,904.0,709.0,506.0,104.5,68.0,0.0,18.25,154.0,3.0,1.0,9.0,4.0,1141.0,7.1,30.8,4.0
