Player,Club,Market Value (M),Archetype,Cluster,PC1,PC2,Goals,Assists,NPG,XG,XA,Progressive passes,Progressive carries,Passes completed,Passes attempted,Key passes,Through balls,Switches,Shot creating Actions,Goal Creating Actions,Tackles,Interceptions,Touches,Aerials Won
Rodri,Manchester City,70.0,Box-to-Box Midfielder,0,-6.238340655995055,-0.8684268519448204,0.0,0.0,0.0,0.0,0.0,4.0,1.0,64.0,68.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,74.0,1.0
Mason Mount,Manchester United,40.0,Box-to-Box Midfielder,0,-4.839872989046385,-0.86676091072404,1.0,0.0,1.0,3.2,0.6,33.0,15.0,207.0,253.0,8.0,2.0,2.0,22.0,0.0,15.0,4.0,339.0,4.0
Carlos Soler,PSG,35.0,Box-to-Box Midfielder,0,-3.3517741582506235,-0.0652430976609062,1.0,1.0,1.0,1.8,1.4,56.0,17.0,570.0,669.0,18.0,4.0,6.0,51.0,2.0,16.0,8.0,794.0,10.0
Ismaël Bennacer,AC Milan,30.0,Box-to-Box Midfielder,0,-5.503102737961012,-0.4865156939222943,0.0,0.0,0.0,0.1,0.1,23.0,8.0,197.0,221.0,4.0,0.0,5.0,12.0,1.0,5.0,3.0,249.0,3.0
Sofyan Amrabat,Manchester United,30.0,Box-to-Box Midfielder,0,-5.950503494713241,-0.7373961877632244,0.0,0.0,0.0,0.0,0.1,14.0,2.0,112.0,133.0,2.0,0.0,4.0,4.0,0.0,3.0,0.0,140.0,1.0
Fabio Carvalho,RB Leipzig,28.0,Box-to-Box Midfielder,0,-5.093733253739711,-1.293972991743001,2.0,1.0,2.0,2.5,0.7,17.0,9.0,126.0,178.0,4.0,2.0,0.0,10.0,1.0,13.0,3.0,247.0,2.0
Piotr Zieliński,Napoli,25.0,Box-to-Box Midfielder,0,-3.1344752585736746,-0.35070488550112877,2.0,2.0,0.0,2.6,0.9,65.0,26.0,636.0,711.0,14.0,2.0,4.0,40.0,7.0,14.0,6.0,803.0,9.0
Boubacar Kamara,Aston Villa,20.0,Box-to-Box Midfielder,0,-3.1819490121493255,1.8433965658820288,0.0,0.0,0.0,0.8,0.9,85.0,19.0,825.0,931.0,11.0,5.0,0.0,27.0,2.0,50.0,19.0,1113.0,21.0
Florian Neuhaus,Borussia Mönchengladbach,20.0,Box-to-Box Midfielder,0,-5.2288925013298595,-0.5222773581694332,0.0,1.0,0.0,0.6,0.3,27.0,10.0,194.0,233.0,6.0,0.0,3.0,17.0,1.0,10.0,6.0,292.0,0.0
Fabio Miretti,Juventus,16.0,Box-to-Box Midfielder,0,-2.2886696646891056,-0.841656962415072,3.0,3.0,3.0,3.1,2.0,54.0,33.0,422.0,567.0,22.0,5.0,8.0,53.0,6.0,28.0,7.0,847.0,11.0
Christian Eriksen,Manchester United,15.0,Box-to-Box Midfielder,0,-2.3873584492823543,-0.3862656014466673,1.0,2.0,0.0,1.4,3.2,55.0,13.0,590.0,749.0,31.0,8.0,8.0,56.0,7.0,19.0,7.0,850.0,2.0
Marcel Sabitzer,Dortmund,12.0,Box-to-Box Midfielder,0,-2.8235778115368713,0.5923258458856746,1.0,0.0,1.0,1.8,1.6,97.0,24.0,728.0,858.0,12.0,4.0,3.0,42.0,6.0,29.0,10.0,1028.0,17.0
Thomas Müller,Bayern Munich,8.0,Box-to-Box Midfielder,0,-2.0477825320507623,-1.1779536529688253,1.0,4.0,1.0,3.8,2.9,50.0,24.0,473.0,631.0,35.0,8.0,3.0,73.0,9.0,8.0,2.0,763.0,19.0
Axel Witsel,Atletico Madrid,3.5,Box-to-Box Midfielder,0,-4.883993495940535,0.7478230032533874,0.0,1.0,0.0,0.0,0.5,21.0,2.0,494.0,545.0,2.0,0.0,2.0,4.0,2.0,16.0,11.0,645.0,23.0
Gio Reyna,Mönchengladbach,,Box-to-Box Midfielder,0,-5.548436439342345,-0.9471484461640308,2.0,0.0,2.0,0.2,0.2,22.0,5.0,167.0,212.0,2.0,2.0,0.0,6.0,0.0,7.0,0.0,262.0,7.0
Nicolò Zaniolo,Udinese,,Box-to-Box Midfielder,0,-5.926532651501327,-0.9561293746532783,0.0,0.0,0.0,0.7,0.2,5.0,8.0,52.0,74.0,5.0,0.0,1.0,10.0,0.0,3.0,0.0,131.0,3.0
Pedro Gonçalves,Sporting CP,,Box-to-Box Midfielder,0,-1.8450083203726597,-2.526505861380669,5.0,4.0,5.0,4.2,4.1,51.0,21.0,281.0,372.0,42.0,10.0,3.0,65.0,6.0,13.0,5.0,521.0,2.0
Roméo Lavia,Chelsea,,Box-to-Box Midfielder,0,-4.611801855866129,0.5179584744671616,0.0,1.0,0.0,0.3,0.7,31.0,3.0,389.0,424.0,7.0,3.0,3.0,14.0,2.0,22.0,16.0,493.0,12.0
Aurelien Tchouameni,Real Madrid,65.0,Defensive Midfielder,2,-1.7241902579784172e-16,2.3421385400142117e-16,4.173913043478261,3.7971014492753623,3.579710144927536,3.8111111111111113,3.4555555555555553,128.6031746031746,43.82539682539682,981.6825396825396,1167.047619047619,33.07936507936508,9.65079365079365,8.365079365079366,73.14285714285714,8.063492063492063,34.608695652173914,15.942028985507246,1384.4761904761904,16.873015873015873
Frenkie de Jong,Barcelona,60.0,Defensive Midfielder,2,-1.6648542191546898,0.33688814820468854,2.0,2.0,2.0,0.7,2.0,120.0,36.0,1084.0,1148.0,21.0,4.0,2.0,43.0,11.0,19.0,12.0,1226.0,10.0
Nicolo Barella,Inter Milan,55.0,Defensive Midfielder,2,-5.096339704342952e-17,-1.0029742339447491e-17,4.173913043478261,3.7971014492753623,3.579710144927536,3.8111111111111113,3.4555555555555553,128.6031746031746,43.82539682539682,981.6825396825396,1167.047619047619,33.07936507936508,9.65079365079365,8.365079365079366,73.14285714285714,8.063492063492063,34.608695652173914,15.942028985507246,1384.4761904761904,16.873015873015873
Ryan Gravenberch,Liverpool,50.0,Defensive Midfielder,2,1.3562108590091964,4.47220025129409,0.0,4.0,0.0,1.1,3.1,181.0,70.0,1718.0,1927.0,26.0,8.0,7.0,68.0,6.0,69.0,60.0,2343.0,26.0
Romeo Lavia,Chelsea,45.0,Defensive Midfielder,2,-5.0963397043429444e-17,-1.0029742339447385e-17,4.173913043478261,3.7971014492753623,3.579710144927536,3.8111111111111113,3.4555555555555553,128.6031746031746,43.82539682539682,981.6825396825396,1167.047619047619,33.07936507936508,9.65079365079365,8.365079365079366,73.14285714285714,8.063492063492063,34.608695652173914,15.942028985507246,1384.4761904761904,16.873015873015873
Arda Güler,Real Madrid,35.0,Defensive Midfielder,2,-0.4059900738162104,-0.9760496930314221,3.0,4.0,3.0,3.3,4.5,93.0,34.0,763.0,886.0,40.0,10.0,8.0,79.0,11.0,30.0,7.0,1058.0,7.0
Leon Goretzka,Bayern Munich,35.0,Defensive Midfielder,2,-1.7238687248777098,1.0905854709052392,4.0,1.0,4.0,2.8,1.7,127.0,35.0,1101.0,1225.0,12.0,5.0,8.0,28.0,2.0,21.0,20.0,1373.0,31.0
