Player,Club,Market Value (M),Archetype,Cluster,PC1,PC2,Goals,Assists,NPG,XG,XA,Progressive passes,Progressive carries,Passes completed,Passes attempted,Key passes,Crosses,Through balls,Switches,Shot creating Actions,Goal Creating Actions,Tackles,Interceptions,Touches,Aerials Won,Pass Completion %
Kylian Mbappé,Real Madrid,160.0,False 9 / Link-Up Striker,2,7.253926764849556,-0.2114265876634563,31.0,3.0,24.0,25.9,7.7,140.0,150.0,949.0,1145.0,51.0,35.0,6.0,19.0,133.0,15.0,8.0,1.0,1572.0,4.0,82.88209599748288
Harry Kane,Bayern Munich,95.0,False 9 / Link-Up Striker,2,3.899325069194156,-0.019314649541268897,26.0,9.0,17.0,20.3,5.3,97.0,29.0,509.0,645.0,35.0,13.0,17.0,14.0,89.0,21.0,13.0,2.0,917.0,29.0,78.91472855982212
Julián Álvarez,Atlético Madrid,75.0,False 9 / Link-Up Striker,2,4.430769934856851,-2.9048509079991147,17.0,4.0,13.0,14.1,5.3,92.0,79.0,717.0,966.0,41.0,69.0,14.0,12.0,108.0,15.0,25.0,2.0,1238.0,13.0,74.22360240763602
Viktor Gyökeres,Arsenal,63.833333333333336,False 9 / Link-Up Striker,2,5.970765108967599,3.934616676026417,39.0,7.0,27.0,30.8,7.1,68.0,133.0,506.0,709.0,61.0,25.0,4.0,1.0,154.0,31.0,9.0,6.0,1141.0,36.0,71.36812401781647
Antoine Griezmann,Atlético Madrid,35.0,False 9 / Link-Up Striker,2,6.416494916743079,-5.94741736173895,8.0,7.0,7.0,7.4,7.1,143.0,46.0,1094.0,1463.0,48.0,138.0,12.0,9.0,93.0,13.0,30.0,6.0,1678.0,21.0,74.77785367410947
Rasmus Højlund,Manchester United,75.0,Poacher / Finisher,1,-3.9600343499723327,-0.9285045737047334,4.0,0.0,4.0,5.3,1.8,18.0,28.0,251.0,336.0,16.0,8.0,2.0,0.0,34.0,1.0,3.0,2.0,515.0,31.0,74.70238073005244
Gonçalo Ramos,Paris Saint-Germain,70.0,Poacher / Finisher,1,-3.2151597272166694,-0.050798211221851866,10.0,3.0,8.0,13.6,2.2,24.0,11.0,193.0,241.0,15.0,1.0,2.0,0.0,30.0,6.0,11.0,0.0,353.0,20.0,80.08298721957267
Darwin Núñez,Liverpool,65.0,Poacher / Finisher,1,-3.515229631592937,-1.5213055660736934,5.0,2.0,5.0,5.8,1.3,27.0,23.0,163.0,230.0,11.0,3.0,1.0,6.0,31.0,4.0,21.0,4.0,366.0,20.0,70.86956490926276
Dušan Vlahović,Juventus,63.833333333333336,Poacher / Finisher,1,-2.726225794874968,-0.012083960799455926,10.0,4.0,6.0,12.3,1.3,22.0,27.0,253.0,366.0,15.0,9.0,3.0,4.0,41.0,8.0,4.0,1.0,564.0,39.0,69.1256828712413
Santiago Giménez,Feyenoord,55.0,Poacher / Finisher,1,-5.364701498217662,-0.4368901474360225,7.0,1.0,5.0,7.2,1.4,8.0,7.0,65.0,102.0,11.0,2.0,0.0,0.0,19.0,2.0,5.0,0.0,207.0,12.0,63.725489571318725
Evan Ferguson,Brighton,45.0,Poacher / Finisher,1,-6.553548774669005,-1.417644638397876,1.0,0.0,1.0,0.5,0.4,1.0,2.0,43.0,58.0,3.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,88.0,4.0,74.1379297562426
Tammy Abraham,AS Roma,35.0,Poacher / Finisher,1,-7.89217343446334,-1.3709450156364094,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,33.333322222225924
Erling Haaland,Manchester City,180.0,Target Man / Aerial Specialist,0,-0.9559999761893572,2.330270178002084,22.0,3.0,19.0,22.0,3.0,20.0,24.0,255.0,381.0,29.0,3.0,1.0,0.0,71.0,9.0,11.0,5.0,639.0,57.0,66.92913368260069
Lautaro Martínez,Inter Milan,115.0,Target Man / Aerial Specialist,0,1.7247752461962835,-1.6429484538617,12.0,3.0,12.0,13.5,4.3,68.0,34.0,472.0,634.0,36.0,13.0,9.0,10.0,77.0,8.0,30.0,10.0,981.0,35.0,74.44794940938809
Victor Osimhen,Galatasaray (on loan),100.0,Target Man / Aerial Specialist,0,0.6655780034891665,1.3377586159577877,26.0,5.0,20.0,14.381481481481481,3.566666666666666,51.074074074074076,45.111111111111114,398.81481481481484,536.5555555555555,27.51851851851852,15.0,4.222222222222222,4.111111111111111,64.11111111111111,9.592592592592593,6.0,9.0,791.7777777777778,36.333333333333336,71.87557501472672
Alexander Isak,Liverpool,80.0,Target Man / Aerial Specialist,0,2.67022617869463,0.8397044436162219,23.0,6.0,19.0,20.3,4.3,88.0,83.0,519.0,689.0,41.0,16.0,6.0,3.0,92.0,14.0,12.0,3.0,1025.0,26.0,75.32656012289324
Dusan Vlahović,Juventus,70.0,Target Man / Aerial Specialist,0,6.249526292892418e-17,7.585268304730026e-17,15.571428571428571,4.142857142857143,12.857142857142858,14.381481481481481,3.566666666666666,51.074074074074076,45.111111111111114,398.81481481481484,536.5555555555555,27.51851851851852,16.607142857142858,4.222222222222222,4.111111111111111,64.11111111111111,9.592592592592593,12.642857142857142,3.8214285714285716,791.7777777777778,36.333333333333336,71.87557501472672
Victor Gyökeres,Arsenal,70.0,Target Man / Aerial Specialist,0,6.249485563947814e-17,7.324743970226722e-17,15.571428571428571,4.142857142857143,12.857142857142858,14.381481481481481,3.566666666666666,51.074074074074076,45.111111111111114,398.81481481481484,536.5555555555555,27.51851851851852,16.607142857142858,4.222222222222222,4.111111111111111,64.11111111111111,9.592592592592593,12.642857142857142,3.8214285714285716,791.7777777777778,36.333333333333336,71.87557501472672
Loïs Openda,RB Leipzig,65.0,Target Man / Aerial Specialist,0,-0.3106858029950298,-0.9565227355822125,9.0,5.0,9.0,9.0,3.4,47.0,58.0,377.0,591.0,28.0,27.0,2.0,6.0,66.0,10.0,9.0,5.0,904.0,19.0,63.79018601727549
Ollie Watkins,Aston Villa,65.0,Target Man / Aerial Specialist,0,-0.30691102847726875,1.5016015890193903,16.0,8.0,14.0,15.3,3.3,31.0,55.0,307.0,424.0,24.0,7.0,1.0,1.0,53.0,12.0,10.0,8.0,695.0,52.0,72.40566020659043
Hugo Ekitike,Liverpool,63.833333333333336,Target Man / Aerial Specialist,0,3.10056662694118,0.750552526354705,15.0,8.0,14.0,21.6,6.8,53.0,93.0,486.0,644.0,44.0,17.0,6.0,5.0,101.0,12.0,16.0,7.0,1054.0,52.0,75.46583839213379
Nicolas Jackson,Bayern Munich,63.833333333333336,Target Man / Aerial Specialist,0,-0.696116605058268,-0.2768096536885744,10.0,5.0,10.0,12.3,4.3,38.0,47.0,303.0,399.0,28.0,3.0,1.0,0.0,69.0,10.0,22.0,3.0,687.0,21.0,75.93984943373472
