Player,Club,Market Value (M),Archetype,Cluster,PC1,PC2,Goals,Assists,NPG,XG,XA,Progressive passes,Progressive carries,Passes completed,Passes attempted,Key passes,Crosses,Through balls,Switches,Shot creating Actions,Goal Creating Actions,Tackles,Interceptions,Touches,Aerials Won,Pass Completion %
Vinícius Jr.,Real Madrid,150.0,Explosive Dribbler,0,1.1928519101026086e-17,-2.7523766437397767e-16,6.978260869565218,5.173913043478261,6.239130434782608,6.8268292682926806,4.995121951219512,72.70731707317073,84.90243902439025,548.1951219512196,728.0487804878048,37.46341463414634,75.30434782608695,6.048780487804878,4.7073170731707314,81.04878048780488,10.195121951219512,22.41304347826087,7.086956521739131,974.439024390244,10.975609756097562,75.95065789263678
Khvicha Kvaratskhelia,Napoli,90.0,Explosive Dribbler,0,-2.2822385523573727,-0.21982599793955326,5.0,3.0,4.0,4.1,3.7,57.0,74.0,352.0,461.0,28.0,51.0,7.0,5.0,57.0,6.0,15.0,4.0,659.0,4.0,76.35574820747127
Rafael Leão,AC Milan,80.0,Explosive Dribbler,0,2.2501849823071165,-1.2277598616312257,8.0,8.0,8.0,7.6,8.4,93.0,123.0,630.0,849.0,58.0,55.0,10.0,4.0,113.0,16.0,16.0,6.0,1135.0,26.0,74.20494690906366
Luis Díaz,Liverpool,60.0,Explosive Dribbler,0,2.4292172437657826,1.7408114762610432,13.0,5.0,13.0,12.0,5.0,110.0,108.0,736.0,874.0,56.0,32.0,2.0,9.0,117.0,16.0,39.0,7.0,1184.0,13.0,84.21052621943875
Savinho (Sávio Moreira de Oliveira),Manchester City / Girona,60.0,Explosive Dribbler,0,1.1928519101026137e-17,-2.752376643739773e-16,6.978260869565218,5.173913043478261,6.239130434782608,6.8268292682926806,4.995121951219512,72.70731707317073,84.90243902439025,548.1951219512196,728.0487804878048,37.46341463414634,75.30434782608695,6.048780487804878,4.7073170731707314,81.04878048780488,10.195121951219512,22.41304347826087,7.086956521739131,974.439024390244,10.975609756097562,75.95065789263678
Alejandro Garnacho,Manchester United,55.0,Explosive Dribbler,0,0.15029849412012197,2.2588736636759674,6.0,2.0,6.0,7.3,4.5,56.0,141.0,649.0,823.0,37.0,56.0,2.0,9.0,83.0,6.0,30.0,13.0,1159.0,3.0,78.85783708522742
Gabriel Martinelli,Arsenal,55.0,Explosive Dribbler,0,-0.04931778064950687,-0.8953659042467391,8.0,4.0,8.0,7.4,5.0,52.0,124.0,499.0,699.0,40.0,92.0,5.0,2.0,74.0,7.0,23.0,5.0,994.0,17.0,71.3876966074568
Moussa Diaby,Aston Villa,55.0,Explosive Dribbler,0,0.5420026815697857,-0.49035304242903804,5.0,14.0,5.0,6.8268292682926806,4.995121951219512,72.70731707317073,84.90243902439025,548.1951219512196,728.0487804878048,37.46341463414634,135.0,6.048780487804878,4.7073170731707314,81.04878048780488,10.195121951219512,10.0,10.0,974.439024390244,10.975609756097562,75.95065789263678
Bradley Barcola,PSG,50.0,Explosive Dribbler,0,3.761227152154092,0.7763493388600552,14.0,10.0,14.0,13.4,10.1,96.0,137.0,749.0,917.0,50.0,25.0,6.0,2.0,101.0,20.0,27.0,19.0,1278.0,14.0,81.67938922390469
Leroy Sané,Bayern Munich,50.0,Explosive Dribbler,0,0.5416035028980148,0.8727374725176733,11.0,5.0,11.0,10.2,5.5,64.0,75.0,750.0,909.0,36.0,51.0,5.0,2.0,76.0,9.0,23.0,7.0,1184.0,7.0,82.50825073431436
Adama Traoré,Al-Nassr,48.72,Explosive Dribbler,0,-0.7625445141813091,-1.5116992488905165,2.0,7.0,2.0,4.0,4.9,68.0,100.0,424.0,587.0,42.0,100.0,6.0,2.0,82.0,10.0,20.0,1.0,801.0,25.0,72.23168641868537
Amad Diallo,Atalanta,48.72,Explosive Dribbler,0,1.1856477051733778,2.036734267806796,8.0,6.0,8.0,4.7,4.9,60.0,109.0,795.0,949.0,49.0,42.0,3.0,1.0,97.0,18.0,38.0,11.0,1207.0,10.0,83.77239190329568
Angel Di Maria,Benfica,48.72,Explosive Dribbler,0,-1.7045673064102637e-15,4.031740628524785e-16,6.978260869565218,5.173913043478261,6.239130434782608,6.8268292682926806,4.995121951219512,72.70731707317073,84.90243902439025,548.1951219512196,728.0487804878048,37.46341463414634,75.30434782608695,6.048780487804878,4.7073170731707314,81.04878048780488,10.195121951219512,22.41304347826087,7.086956521739131,974.439024390244,10.975609756097562,75.95065789263678
Armand Lauriente,Sassuolo,48.72,Explosive Dribbler,0,1.3909228394602482,-0.19758604778433825,18.0,5.0,16.0,10.7,4.4,80.0,91.0,559.0,741.0,37.0,55.0,4.0,3.0,96.0,10.0,22.0,13.0,1063.0,13.0,75.43859638942159
Bryan Mbuemo,Nice,48.72,Explosive Dribbler,0,-2.0560307867471607e-17,-4.989738608811861e-16,6.978260869565218,5.173913043478261,6.239130434782608,6.8268292682926806,4.995121951219512,72.70731707317073,84.90243902439025,548.1951219512196,728.0487804878048,37.46341463414634,75.30434782608695,6.048780487804878,4.7073170731707314,81.04878048780488,10.195121951219512,22.41304347826087,7.086956521739131,974.439024390244,10.975609756097562,75.95065789263678
Bukayo Saka,Arsenal,48.72,Explosive Dribbler,0,1.4520173607848617,-0.49743179530494913,6.0,10.0,5.0,6.8,7.6,70.0,96.0,552.0,731.0,58.0,117.0,4.0,2.0,117.0,23.0,29.0,3.0,979.0,10.0,75.51299579273189
Callum Hudson-Odoi,Chelsea,48.72,Explosive Dribbler,0,-0.0008895814889381891,2.4276358118075994,5.0,2.0,5.0,2.5,2.7,71.0,130.0,691.0,843.0,44.0,79.0,5.0,6.0,94.0,11.0,22.0,13.0,1035.0,3.0,81.96915767263445
Daniel James,Fulham,48.72,Explosive Dribbler,0,2.710601395562515,-3.414028625199199,12.0,9.0,12.0,10.4,8.7,100.0,117.0,475.0,818.0,44.0,169.0,5.0,1.0,95.0,15.0,28.0,4.0,1110.0,23.0,58.068459586713374
Hakim Ziyech,Galatasaray,48.72,Explosive Dribbler,0,-1.6269246223078047,-0.29043992130457685,0.0,1.0,0.0,6.8268292682926806,4.995121951219512,72.70731707317073,84.90243902439025,548.1951219512196,728.0487804878048,37.46341463414634,20.0,6.048780487804878,4.7073170731707314,81.04878048780488,10.195121951219512,3.0,0.0,974.439024390244,10.975609756097562,75.95065789263678
Ismaila Sarr,Tottenham,48.72,Explosive Dribbler,0,1.849596611901901,-3.0361940618610457,8.0,6.0,8.0,10.7,8.5,85.0,75.0,490.0,742.0,44.0,55.0,13.0,1.0,110.0,12.0,22.0,9.0,1091.0,37.0,66.03773576005696
Mohammed Kudus,West Ham United,48.72,Explosive Dribbler,0,0.3570418556345433,2.42982411394317,5.0,3.0,5.0,6.9,3.1,79.0,98.0,715.0,855.0,31.0,81.0,2.0,13.0,107.0,10.0,38.0,4.0,1274.0,11.0,83.62573089634418
Nicolas Pépé,OGC Nice,48.72,Explosive Dribbler,0,-1.4667905432827295,0.021466933463819594,3.0,6.0,3.0,3.8,4.8,60.0,76.0,499.0,631.0,33.0,44.0,5.0,2.0,65.0,7.0,22.0,5.0,842.0,16.0,79.08082396342184
Pedro Neto,Wolverhampton,48.72,Explosive Dribbler,0,0.5269009291019044,1.315460635250572,4.0,6.0,4.0,3.5,6.7,60.0,126.0,702.0,895.0,46.0,149.0,0.0,5.0,90.0,9.0,23.0,9.0,1153.0,11.0,78.43575410230642
