Name,Club,Age,Rating,Potential,Market Value (€M)
Alejandro Garnacho,Manchester United,20,79,88,55.0
Ansu Fati,Brighton / Barcelona,21,78,85,25.0
Savinho (Sávio Moreira de Oliveira),Manchester City / Girona,20,82,88,60.0
Mykhailo Mudryk,Chelsea,23,78,85,30.0
Bradley Barcola,PSG,22,84,88,50.0
Gabriel Martinelli,Arsenal,23,81,86,55.0
Armand Laurienté,Sassuolo,25,79,82,18.0
Khvicha Kvaratskhelia,Napoli,23,87,90,90.0
Anthony Gordon,Newcastle United,23,82,86,45.0
Rafael Leão,AC Milan,25,84,88,80.0
Luis Díaz,Liverpool,27,84,85,60.0
Kaoru Mitoma,Brighton,27,82,84,35.0
Mikel Oyarzabal,Real Sociedad,27,82,84,40.0
Marcus Rashford,Manchester United,27,84,87,70.0
Leroy Sané,Bayern Munich,29,85,85,50.0
Jack Grealish,Manchester City,29,83,83,55.0
Leandro Trossard,Arsenal,30,83,83,28.0
Moussa Diaby,Aston Villa,26,83,86,55.0
Filip Kostić,Juventus,31,81,81,15.0
Yannick Carrasco,Al Shabab,31,81,81,12.0
Steven Bergwijn,Ajax / Al Ittihad,27,79,80,10.0
Neymar Jr.,Al Hilal,33,85,85,25.0
Heung-Min Son,Tottenham Hotspur,32,85,85,45.0
Vinícius Jr.,Real Madrid,24,89,92,150.0
Raphinha,FC Barcelona,27,84,85,60.0
