Name,Club,Age,Rating,Potential,Market Value (€ M)
Bukayo Saka,Arsenal,23,88,92,110.0
Antony,Manchester United,23,84,88,70.0
Amad Diallo,Atalanta,21,80,86,35.0
Callum Hudson-Odoi,Chelsea,23,80,84,35.0
Mohamed Salah,Liverpool,31,90,90,100.0
Riyad Mahrez,Al Ahli,33,83,83,15.0
Hakim Ziyech,Galatasaray,30,83,83,18.0
Pedro Neto,Wolverhampton,24,80,85,20.0
Leon Bailey,Aston Villa,25,81,84,25.0
Ismaila Sarr,Tottenham,25,82,84,25.0
Adama Traoré,Al-Nassr,27,81,82,15.0
Ritsu Doan,SC Freiburg,25,81,84,15.0
Matheus Cunha,Borussia Dortmund,24,82,86,35.0
Nicolas Pépé,OGC Nice,27,82,84,25.0
Anthony Gordon,Newcastle United,23,82,86,45.0
Bryan Mbuemo,Nice,26,80,83,20.0
Thomas Lemar,Atlético Madrid,27,81,83,20.0
Pablo Sarabia,Al-Nassr,31,81,81,12.0
Yannick Ferreira Carrasco,Al Shabab,31,81,81,12.0
Angel Di Maria,Benfica,36,81,81,5.0
Moussa Diaby,Aston Villa,26,83,86,55.0
Samuel Chukwueze,Villarreal,25,82,85,30.0
Timothy Weah,Lille,22,79,84,20.0
Mohammed Kudus,West Ham United,25,82,85,40.0
Daniel James,Fulham,25,78,82,18.0
