Player Name,Club,Position,Metric,Value
Thiago Silva,Fluminense,CB,Goals,NA
Thiago Silva,Fluminense,CB,Assists,NA
Thiago Silva,Fluminense,CB,Progressive Carries,NA
Thiago Silva,Fluminense,CB,Progressive Passes,NA
Thiago Silva,Fluminense,CB,Pass Completion - Short,NA
Thiago Silva,Fluminense,CB,Pass Completion - Medium,NA
Thiago Silva,Fluminense,CB,Pass Completion - Long,NA
Thiago Silva,Fluminense,CB,Through Balls,NA
Thiago Silva,Fluminense,CB,Switches,NA
Thiago Silva,Fluminense,CB,Shot Creating Actions,NA
Thiago Silva,Fluminense,CB,Tackles,NA
Thiago Silva,Fluminense,CB,Challenges Lost,NA
Thiago Silva,Fluminense,CB,Interceptions,NA
Thiago Silva,Fluminense,CB,Errors,NA
Thiago Silva,Fluminense,CB,Touches,NA
Thiago Silva,Fluminense,CB,Miscontrols,NA
Thiago Silva,Fluminense,CB,Dispossessed,NA
Thiago Silva,Fluminense,CB,Yellow Cards,NA
Thiago Silva,Fluminense,CB,Red Cards,NA
Thiago Silva,Fluminense,CB,Fouls Committed,NA
Thiago Silva,Fluminense,CB,Penalty kicks conceded,NA
Thiago Silva,Fluminense,CB,Aerial Duel win percentage,NA
Virgil van Dijk,Liverpool,CB,Goals,3
Virgil van Dijk,Liverpool,CB,Assists,1
Virgil van Dijk,Liverpool,CB,Progressive Carries,22
Virgil van Dijk,Liverpool,CB,Progressive Passes,198
Virgil van Dijk,Liverpool,CB,Pass Completion - Short,96.2
Virgil van Dijk,Liverpool,CB,Pass Completion - Medium,95.4
Virgil van Dijk,Liverpool,CB,Pass Completion - Long,67.2
Virgil van Dijk,Liverpool,CB,Through Balls,1
Virgil van Dijk,Liverpool,CB,Switches,22
Virgil van Dijk,Liverpool,CB,Shot Creating Actions,48
Virgil van Dijk,Liverpool,CB,Tackles,38
Virgil van Dijk,Liverpool,CB,Challenges Lost,9
Virgil van Dijk,Liverpool,CB,Interceptions,56
Virgil van Dijk,Liverpool,CB,Errors,4
Virgil van Dijk,Liverpool,CB,Touches,3300
Virgil van Dijk,Liverpool,CB,Miscontrols,10
Virgil van Dijk,Liverpool,CB,Dispossessed,5
Virgil van Dijk,Liverpool,CB,Yellow Cards,5
Virgil van Dijk,Liverpool,CB,Red Cards,0
Virgil van Dijk,Liverpool,CB,Fouls Committed,17
Virgil van Dijk,Liverpool,CB,Penalty kicks conceded,0
Virgil van Dijk,Liverpool,CB,Aerial Duel win percentage,72.1
Stefan de Vrij,Internazionale,CB,Goals,3
Stefan de Vrij,Internazionale,CB,Assists,0
Stefan de Vrij,Internazionale,CB,Progressive Carries,11
Stefan de Vrij,Internazionale,CB,Progressive Passes,76
Stefan de Vrij,Internazionale,CB,Pass Completion - Short,94.8
Stefan de Vrij,Internazionale,CB,Pass Completion - Medium,95.6
Stefan de Vrij,Internazionale,CB,Pass Completion - Long,73.2
Stefan de Vrij,Internazionale,CB,Through Balls,2
Stefan de Vrij,Internazionale,CB,Switches,3
