Player Name,Club,Position,Metric,Value
Alisson,Liverpool,GK,Post Shot Xg + goals Allowed (PSxG-GA),NA
Alisson,Liverpool,GK,Goals Against,29
Alisson,Liverpool,GK,Save Percentage,NA
Alisson,Liverpool,GK,Clean Sheet Percentage,NA
Alisson,Liverpool,GK,Touches,1010
Alisson,Liverpool,GK,Avg Length Of goalkicks,NA
Alisson,Liverpool,GK,Crosses Stopped,11
Alisson,Liverpool,GK,Def Actions outside Pen area,49
Alisson,Liverpool,GK,Avg distance of defensive actions,NA
Alisson,Liverpool,GK,Saves,73
Alisson,Liverpool,GK,Pass Completion percentage,82.8
Anatolii Trubin,Benfica,GK,Post Shot Xg + goals Allowed (PSxG-GA),NA
Anatolii Trubin,Benfica,GK,Goals Against,28
Anatolii Trubin,Benfica,GK,Save Percentage,NA
Anatolii Trubin,Benfica,GK,Clean Sheet Percentage,NA
Anatolii Trubin,Benfica,GK,Touches,915
Anatolii Trubin,Benfica,GK,Avg Length Of goalkicks,NA
Anatolii Trubin,Benfica,GK,Crosses Stopped,22
Anatolii Trubin,Benfica,GK,Def Actions outside Pen area,18
Anatolii Trubin,Benfica,GK,Avg distance of defensive actions,NA
Anatolii Trubin,Benfica,GK,Saves,72
Anatolii Trubin,Benfica,GK,Pass Completion percentage,84.1
Bart Verbruggen,Brighton & Hove Albion,GK,Post Shot Xg + goals Allowed (PSxG-GA),NA
Bart Verbruggen,Brighton & Hove Albion,GK,Goals Against,58
Bart Verbruggen,Brighton & Hove Albion,GK,Save Percentage,NA
Bart Verbruggen,Brighton & Hove Albion,GK,Clean Sheet Percentage,NA
Bart Verbruggen,Brighton & Hove Albion,GK,Touches,1406
Bart Verbruggen,Brighton & Hove Albion,GK,Avg Length Of goalkicks,NA
Bart Verbruggen,Brighton & Hove Albion,GK,Crosses Stopped,27
Bart Verbruggen,Brighton & Hove Albion,GK,Def Actions outside Pen area,47
Bart Verbruggen,Brighton & Hove Albion,GK,Avg distance of defensive actions,NA
Bart Verbruggen,Brighton & Hove Albion,GK,Saves,87
