Player Name,Club,Position,Metric,Value
Ángel Di María,Rosario Central,CAM_Winger,Goals,8
Ángel Di María,Rosario Central,CAM_Winger,Assists,5
Ángel Di María,Rosario Central,CAM_Winger,NPG,3
Ángel Di María,Rosario Central,CAM_Winger,XG,8.9
Ángel Di María,Rosario Central,CAM_Winger,XA,5.2
Ángel Di María,Rosario Central,CAM_Winger,Progressive passes,160
Ángel Di María,Rosario Central,CAM_Winger,Progressive carries,70
Ángel Di María,Rosario Central,CAM_Winger,Passes completed,684
Ángel Di María,Rosario Central,CAM_Winger,Passes attempted,970
Ángel Di María,Rosario Central,CAM_Winger,Key passes,45
Ángel Di María,Rosario Central,CAM_Winger,Through balls,19
Ángel Di María,Rosario Central,CAM_Winger,Switches,21
Ángel Di María,Rosario Central,CAM_Winger,Crosses,133
Ángel Di María,Rosario Central,CAM_Winger,Corners,60
Ángel Di María,Rosario Central,CAM_Winger,Shot creating Actions,90
Ángel Di María,Rosario Central,CAM_Winger,SCA Take Ons,8
Ángel Di María,Rosario Central,CAM_Winger,GCA Shots,1
Ángel Di María,Rosario Central,CAM_Winger,Goal Creating Actions,12
Ángel Di María,Rosario Central,CAM_Winger,Tackles,16
Ángel Di María,Rosario Central,CAM_Winger,Dribblers tackles,NA
Ángel Di María,Rosario Central,CAM_Winger,Shots blocked,0
Ángel Di María,Rosario Central,CAM_Winger,Blocks,13
Ángel Di María,Rosario Central,CAM_Winger,Interceptions,8
Ángel Di María,Rosario Central,CAM_Winger,Passes Recieved,905
Ángel Di María,Rosario Central,CAM_Winger,Offsides,10
Ángel Di María,Rosario Central,CAM_Winger,Ball recoveries,76
Ángel Di María,Rosario Central,CAM_Winger,Errors,0
Ángel Di María,Rosario Central,CAM_Winger,Touches,1203
Ángel Di María,Rosario Central,CAM_Winger,Miscontrols,38
Ángel Di María,Rosario Central,CAM_Winger,Dispossessed,18
Ángel Di María,Rosario Central,CAM_Winger,Yellow Cards,5
Ángel Di María,Rosario Central,CAM_Winger,Red Cards,0
Ángel Di María,Rosario Central,CAM_Winger,Fouls committed,17
Ángel Di María,Rosario Central,CAM_Winger,Aerials Won,0
Adama Traoré,Fulham,CAM_Winger,Goals,2
Adama Traoré,Fulham,CAM_Winger,Assists,7
Adama Traoré,Fulham,CAM_Winger,NPG,2
Adama Traoré,Fulham,CAM_Winger,XG,4.0
Adama Traoré,Fulham,CAM_Winger,XA,4.9
Adama Traoré,Fulham,CAM_Winger,Progressive passes,68
Adama Traoré,Fulham,CAM_Winger,Progressive carries,100
Adama Traoré,Fulham,CAM_Winger,Passes completed,424
Adama Traoré,Fulham,CAM_Winger,Passes attempted,587
Adama Traoré,Fulham,CAM_Winger,Key passes,42
Adama Traoré,Fulham,CAM_Winger,Through balls,6
Adama Traoré,Fulham,CAM_Winger,Switches,2
Adama Traoré,Fulham,CAM_Winger,Crosses,100
Adama Traoré,Fulham,CAM_Winger,Corners,0
Adama Traoré,Fulham,CAM_Winger,Shot creating Actions,82
Adama Traoré,Fulham,CAM_Winger,SCA Take Ons,9
Adama Traoré,Fulham,CAM_Winger,GCA Shots,0
Adama Traoré,Fulham,CAM_Winger,Goal Creating Actions,10
Adama Traoré,Fulham,CAM_Winger,Tackles,20
Adama Traoré,Fulham,CAM_Winger,Dribblers tackles,NA
Adama Traoré,Fulham,CAM_Winger,Shots blocked,0
Adama Traoré,Fulham,CAM_Winger,Blocks,7
Adama Traoré,Fulham,CAM_Winger,Interceptions,1
Adama Traoré,Fulham,CAM_Winger,Passes Recieved,607
Adama Traoré,Fulham,CAM_Winger,Offsides,1
Adama Traoré,Fulham,CAM_Winger,Ball recoveries,87
Adama Traoré,Fulham,CAM_Winger,Errors,4
Adama Traoré,Fulham,CAM_Winger,Touches,801
Adama Traoré,Fulham,CAM_Winger,Miscontrols,37
Adama Traoré,Fulham,CAM_Winger,Dispossessed,25
Adama Traoré,Fulham,CAM_Winger,Yellow Cards,3
Adama Traoré,Fulham,CAM_Winger,Red Cards,0
Adama Traoré,Fulham,CAM_Winger,Fouls committed,24
Adama Traoré,Fulham,CAM_Winger,Aerials Won,25
Amad Diallo,Manchester United,CAM_Winger,Goals,8
Amad Diallo,Manchester United,CAM_Winger,Assists,6
Amad Diallo,Manchester United,CAM_Winger,NPG,8
Amad Diallo,Manchester United,CAM_Winger,XG,4.7
Amad Diallo,Manchester United,CAM_Winger,XA,4.9
Amad Diallo,Manchester United,CAM_Winger,Progressive passes,60
Amad Diallo,Manchester United,CAM_Winger,Progressive carries,109
Amad Diallo,Manchester United,CAM_Winger,Passes completed,795
Amad Diallo,Manchester United,CAM_Winger,Passes attempted,949
Amad Diallo,Manchester United,CAM_Winger,Key passes,49
Amad Diallo,Manchester United,CAM_Winger,Through balls,3
Amad Diallo,Manchester United,CAM_Winger,Switches,1
Amad Diallo,Manchester United,CAM_Winger,Crosses,42
Amad Diallo,Manchester United,CAM_Winger,Corners,32
Amad Diallo,Manchester United,CAM_Winger,Shot creating Actions,97
Amad Diallo,Manchester United,CAM_Winger,SCA Take Ons,10
Amad Diallo,Manchester United,CAM_Winger,GCA Shots,1
Amad Diallo,Manchester United,CAM_Winger,Goal Creating Actions,18
Amad Diallo,Manchester United,CAM_Winger,Tackles,38
Amad Diallo,Manchester United,CAM_Winger,Dribblers tackles,NA
Amad Diallo,Manchester United,CAM_Winger,Shots blocked,2
Amad Diallo,Manchester United,CAM_Winger,Blocks,15
Amad Diallo,Manchester United,CAM_Winger,Interceptions,11
Amad Diallo,Manchester United,CAM_Winger,Passes Recieved,854
Amad Diallo,Manchester United,CAM_Winger,Offsides,9
Amad Diallo,Manchester United,CAM_Winger,Ball recoveries,109
Amad Diallo,Manchester United,CAM_Winger,Errors,1
Amad Diallo,Manchester United,CAM_Winger,Touches,1207
Amad Diallo,Manchester United,CAM_Winger,Miscontrols,42
Amad Diallo,Manchester United,CAM_Winger,Dispossessed,35
Amad Diallo,Manchester United,CAM_Winger,Yellow Cards,5
Amad Diallo,Manchester United,CAM_Winger,Red Cards,0
Amad Diallo,Manchester United,CAM_Winger,Fouls committed,21
Amad Diallo,Manchester United,CAM_Winger,Aerials Won,10
Antony,Real Betis,CAM_Winger,Goals,0
Antony,Real Betis,CAM_Winger,Assists,0
Antony,Real Betis,CAM_Winger,NPG,0
Antony,Real Betis,CAM_Winger,XG,1.0
Antony,Real Betis,CAM_Winger,XA,0.1
Antony,Real Betis,CAM_Winger,Progressive passes,6
Antony,Real Betis,CAM_Winger,Progressive carries,5
Antony,Real Betis,CAM_Winger,Passes completed,56
Antony,Real Betis,CAM_Winger,Passes attempted,69
Antony,Real Betis,CAM_Winger,Key passes,3
Antony,Real Betis,CAM_Winger,Through balls,0
Antony,Real Betis,CAM_Winger,Switches,0
Antony,Real Betis,CAM_Winger,Crosses,5
Antony,Real Betis,CAM_Winger,Corners,0
Antony,Real Betis,CAM_Winger,Shot creating Actions,8
Antony,Real Betis,CAM_Winger,SCA Take Ons,1
Antony,Real Betis,CAM_Winger,GCA Shots,0
Antony,Real Betis,CAM_Winger,Goal Creating Actions,0
Antony,Real Betis,CAM_Winger,Tackles,6
Antony,Real Betis,CAM_Winger,Dribblers tackles,NA
Antony,Real Betis,CAM_Winger,Shots blocked,0
Antony,Real Betis,CAM_Winger,Blocks,2
Antony,Real Betis,CAM_Winger,Interceptions,2
Antony,Real Betis,CAM_Winger,Passes Recieved,69
Antony,Real Betis,CAM_Winger,Offsides,0
Antony,Real Betis,CAM_Winger,Ball recoveries,11
Antony,Real Betis,CAM_Winger,Errors,0
Antony,Real Betis,CAM_Winger,Touches,101
Antony,Real Betis,CAM_Winger,Miscontrols,5
Antony,Real Betis,CAM_Winger,Dispossessed,1
Antony,Real Betis,CAM_Winger,Yellow Cards,0
Antony,Real Betis,CAM_Winger,Red Cards,0
Antony,Real Betis,CAM_Winger,Fouls committed,2
Antony,Real Betis,CAM_Winger,Aerials Won,0
Bryan Mbeumo,Manchester United,CAM_Winger,Goals,20
Bryan Mbeumo,Manchester United,CAM_Winger,Assists,7
Bryan Mbeumo,Manchester United,CAM_Winger,NPG,15
Bryan Mbeumo,Manchester United,CAM_Winger,XG,12.3
Bryan Mbeumo,Manchester United,CAM_Winger,XA,8.3
Bryan Mbeumo,Manchester United,CAM_Winger,Progressive passes,141
Bryan Mbeumo,Manchester United,CAM_Winger,Progressive carries,130
Bryan Mbeumo,Manchester United,CAM_Winger,Passes completed,872
Bryan Mbeumo,Manchester United,CAM_Winger,Passes attempted,1319
Bryan Mbeumo,Manchester United,CAM_Winger,Key passes,70
Bryan Mbeumo,Manchester United,CAM_Winger,Through balls,13
Bryan Mbeumo,Manchester United,CAM_Winger,Switches,9
Bryan Mbeumo,Manchester United,CAM_Winger,Crosses,202
Bryan Mbeumo,Manchester United,CAM_Winger,Corners,87
Bryan Mbeumo,Manchester United,CAM_Winger,Shot creating Actions,144
Bryan Mbeumo,Manchester United,CAM_Winger,SCA Take Ons,11
Bryan Mbeumo,Manchester United,CAM_Winger,GCA Shots,3
Bryan Mbeumo,Manchester United,CAM_Winger,Goal Creating Actions,20
Bryan Mbeumo,Manchester United,CAM_Winger,Tackles,49
Bryan Mbeumo,Manchester United,CAM_Winger,Dribblers tackles,NA
Bryan Mbeumo,Manchester United,CAM_Winger,Shots blocked,3
Bryan Mbeumo,Manchester United,CAM_Winger,Blocks,26
Bryan Mbeumo,Manchester United,CAM_Winger,Interceptions,14
Bryan Mbeumo,Manchester United,CAM_Winger,Passes Recieved,1204
Bryan Mbeumo,Manchester United,CAM_Winger,Offsides,11
Bryan Mbeumo,Manchester United,CAM_Winger,Ball recoveries,156
Bryan Mbeumo,Manchester United,CAM_Winger,Errors,1
Bryan Mbeumo,Manchester United,CAM_Winger,Touches,1781
Bryan Mbeumo,Manchester United,CAM_Winger,Miscontrols,106
Bryan Mbeumo,Manchester United,CAM_Winger,Dispossessed,47
Bryan Mbeumo,Manchester United,CAM_Winger,Yellow Cards,3
Bryan Mbeumo,Manchester United,CAM_Winger,Red Cards,0
Bryan Mbeumo,Manchester United,CAM_Winger,Fouls committed,25
Bryan Mbeumo,Manchester United,CAM_Winger,Aerials Won,34
Bukayo Saka,Arsenal,CAM_Winger,Goals,6
Bukayo Saka,Arsenal,CAM_Winger,Assists,10
Bukayo Saka,Arsenal,CAM_Winger,NPG,5
Bukayo Saka,Arsenal,CAM_Winger,XG,6.8
Bukayo Saka,Arsenal,CAM_Winger,XA,7.6
Bukayo Saka,Arsenal,CAM_Winger,Progressive passes,70
Bukayo Saka,Arsenal,CAM_Winger,Progressive carries,96
Bukayo Saka,Arsenal,CAM_Winger,Passes completed,552
Bukayo Saka,Arsenal,CAM_Winger,Passes attempted,731
Bukayo Saka,Arsenal,CAM_Winger,Key passes,58
Bukayo Saka,Arsenal,CAM_Winger,Through balls,4
Bukayo Saka,Arsenal,CAM_Winger,Switches,2
Bukayo Saka,Arsenal,CAM_Winger,Crosses,117
Bukayo Saka,Arsenal,CAM_Winger,Corners,64
Bukayo Saka,Arsenal,CAM_Winger,Shot creating Actions,117
