Player Name,Club,Position,Metric,Value
Adrien Rabiot,Milan,CAM_Winger,Goals,9
Adrien Rabiot,Milan,CAM_Winger,Assists,4
Adrien Rabiot,Milan,CAM_Winger,NPG,9
Adrien Rabiot,Milan,CAM_Winger,XG,7.3
Adrien Rabiot,Milan,CAM_Winger,XA,3.8
Adrien Rabiot,Milan,CAM_Winger,Progressive passes,168
Adrien Rabiot,Milan,CAM_Winger,Progressive carries,79
Adrien Rabiot,Milan,CAM_Winger,Passes completed,1309
Adrien Rabiot,Milan,CAM_Winger,Passes attempted,1543
Adrien Rabiot,Milan,CAM_Winger,Key passes,28
Adrien Rabiot,Milan,CAM_Winger,Through balls,6
Adrien Rabiot,Milan,CAM_Winger,Switches,0
Adrien Rabiot,Milan,CAM_Winger,Crosses,40
Adrien Rabiot,Milan,CAM_Winger,Corners,0
Adrien Rabiot,Milan,CAM_Winger,Shot creating Actions,66
Adrien Rabiot,Milan,CAM_Winger,SCA Take Ons,5
Adrien Rabiot,Milan,CAM_Winger,GCA Shots,0
Adrien Rabiot,Milan,CAM_Winger,Goal Creating Actions,11
Adrien Rabiot,Milan,CAM_Winger,Tackles,49
Adrien Rabiot,Milan,CAM_Winger,Dribblers tackles,NA
Adrien Rabiot,Milan,CAM_Winger,Shots blocked,2
Adrien Rabiot,Milan,CAM_Winger,Blocks,21
Adrien Rabiot,Milan,CAM_Winger,Interceptions,21
Adrien Rabiot,Milan,CAM_Winger,Passes Recieved,1445
Adrien Rabiot,Milan,CAM_Winger,Offsides,12
Adrien Rabiot,Milan,CAM_Winger,Ball recoveries,124
Adrien Rabiot,Milan,CAM_Winger,Errors,0
Adrien Rabiot,Milan,CAM_Winger,Touches,1822
Adrien Rabiot,Milan,CAM_Winger,Miscontrols,52
Adrien Rabiot,Milan,CAM_Winger,Dispossessed,31
Adrien Rabiot,Milan,CAM_Winger,Yellow Cards,4
Adrien Rabiot,Milan,CAM_Winger,Red Cards,0
Adrien Rabiot,Milan,CAM_Winger,Fouls committed,53
Adrien Rabiot,Milan,CAM_Winger,Aerials Won,34
