Player Name,Club,Position,Metric,Value
Arda Güler,Real Madrid,CAM_Winger,Goals,3
Arda Güler,Real Madrid,CAM_Winger,Assists,4
Arda Güler,Real Madrid,CAM_Winger,NPG,3
Arda Güler,Real Madrid,CAM_Winger,XG,3.3
Arda Güler,Real Madrid,CAM_Winger,XA,4.5
Arda Güler,Real Madrid,CAM_Winger,Progressive passes,93
Arda Güler,Real Madrid,CAM_Winger,Progressive carries,34
Arda Güler,Real Madrid,CAM_Winger,Passes completed,763
Arda Güler,Real Madrid,CAM_Winger,Passes attempted,886
Arda Güler,Real Madrid,CAM_Winger,Key passes,40
Arda Güler,Real Madrid,CAM_Winger,Through balls,10
Arda Güler,Real Madrid,CAM_Winger,Switches,8
Arda Güler,Real Madrid,CAM_Winger,Crosses,57
Arda Güler,Real Madrid,CAM_Winger,Corners,47
Arda Güler,Real Madrid,CAM_Winger,Shot creating Actions,79
Arda Güler,Real Madrid,CAM_Winger,SCA Take Ons,8
Arda Güler,Real Madrid,CAM_Winger,GCA Shots,2
Arda Güler,Real Madrid,CAM_Winger,Goal Creating Actions,11
Arda Güler,Real Madrid,CAM_Winger,Tackles,30
Arda Güler,Real Madrid,CAM_Winger,Dribblers tackles,NA
Arda Güler,Real Madrid,CAM_Winger,Shots blocked,0
Arda Güler,Real Madrid,CAM_Winger,Blocks,18
Arda Güler,Real Madrid,CAM_Winger,Interceptions,7
Arda Güler,Real Madrid,CAM_Winger,Passes Recieved,808
Arda Güler,Real Madrid,CAM_Winger,Offsides,4
Arda Güler,Real Madrid,CAM_Winger,Ball recoveries,56
Arda Güler,Real Madrid,CAM_Winger,Errors,0
Arda Güler,Real Madrid,CAM_Winger,Touches,1058
Arda Güler,Real Madrid,CAM_Winger,Miscontrols,23
Arda Güler,Real Madrid,CAM_Winger,Dispossessed,9
Arda Güler,Real Madrid,CAM_Winger,Yellow Cards,1
Arda Güler,Real Madrid,CAM_Winger,Red Cards,0
Arda Güler,Real Madrid,CAM_Winger,Fouls committed,15
Arda Güler,Real Madrid,CAM_Winger,Aerials Won,7
