Player Name,Club,Position,Metric,Value
Bernardo Silva,Manchester City,CAM_Winger,Goals,4
Bernardo Silva,Manchester City,CAM_Winger,Assists,4
Bernardo Silva,Manchester City,CAM_Winger,NPG,4
Bernardo Silva,Manchester City,CAM_Winger,XG,3.9
Bernardo Silva,Manchester City,CAM_Winger,XA,5.1
Bernardo Silva,Manchester City,CAM_Winger,Progressive passes,134
Bernardo Silva,Manchester City,CAM_Winger,Progressive carries,101
Bernardo Silva,Manchester City,CAM_Winger,Passes completed,1547
Bernardo Silva,Manchester City,CAM_Winger,Passes attempted,1783
Bernardo Silva,Manchester City,CAM_Winger,Key passes,53
Bernardo Silva,Manchester City,CAM_Winger,Through balls,4
Bernardo Silva,Manchester City,CAM_Winger,Switches,6
Bernardo Silva,Manchester City,CAM_Winger,Crosses,60
Bernardo Silva,Manchester City,CAM_Winger,Corners,16
Bernardo Silva,Manchester City,CAM_Winger,Shot creating Actions,92
Bernardo Silva,Manchester City,CAM_Winger,SCA Take Ons,4
Bernardo Silva,Manchester City,CAM_Winger,GCA Shots,0
Bernardo Silva,Manchester City,CAM_Winger,Goal Creating Actions,8
Bernardo Silva,Manchester City,CAM_Winger,Tackles,56
Bernardo Silva,Manchester City,CAM_Winger,Dribblers tackles,NA
Bernardo Silva,Manchester City,CAM_Winger,Shots blocked,7
Bernardo Silva,Manchester City,CAM_Winger,Blocks,36
Bernardo Silva,Manchester City,CAM_Winger,Interceptions,23
Bernardo Silva,Manchester City,CAM_Winger,Passes Recieved,1518
Bernardo Silva,Manchester City,CAM_Winger,Offsides,3
Bernardo Silva,Manchester City,CAM_Winger,Ball recoveries,107
Bernardo Silva,Manchester City,CAM_Winger,Errors,3
Bernardo Silva,Manchester City,CAM_Winger,Touches,2054
Bernardo Silva,Manchester City,CAM_Winger,Miscontrols,25
Bernardo Silva,Manchester City,CAM_Winger,Dispossessed,34
Bernardo Silva,Manchester City,CAM_Winger,Yellow Cards,7
Bernardo Silva,Manchester City,CAM_Winger,Red Cards,0
Bernardo Silva,Manchester City,CAM_Winger,Fouls committed,27
Bernardo Silva,Manchester City,CAM_Winger,Aerials Won,5
