Player Name,Club,Position,Metric,Value
Bruno Fernandes,Manchester United,CAM_Winger,Goals,8
Bruno Fernandes,Manchester United,CAM_Winger,Assists,10
Bruno Fernandes,Manchester United,CAM_Winger,NPG,5
Bruno Fernandes,Manchester United,CAM_Winger,XG,9.9
Bruno Fernandes,Manchester United,CAM_Winger,XA,8.5
Bruno Fernandes,Manchester United,CAM_Winger,Progressive passes,325
Bruno Fernandes,Manchester United,CAM_Winger,Progressive carries,77
Bruno Fernandes,Manchester United,CAM_Winger,Passes completed,1707
Bruno Fernandes,Manchester United,CAM_Winger,Passes attempted,2242
Bruno Fernandes,Manchester United,CAM_Winger,Key passes,91
Bruno Fernandes,Manchester United,CAM_Winger,Through balls,31
Bruno Fernandes,Manchester United,CAM_Winger,Switches,22
Bruno Fernandes,Manchester United,CAM_Winger,Crosses,186
Bruno Fernandes,Manchester United,CAM_Winger,Corners,91
Bruno Fernandes,Manchester United,CAM_Winger,Shot creating Actions,193
Bruno Fernandes,Manchester United,CAM_Winger,SCA Take Ons,5
Bruno Fernandes,Manchester United,CAM_Winger,GCA Shots,1
Bruno Fernandes,Manchester United,CAM_Winger,Goal Creating Actions,13
Bruno Fernandes,Manchester United,CAM_Winger,Tackles,84
Bruno Fernandes,Manchester United,CAM_Winger,Dribblers tackles,NA
Bruno Fernandes,Manchester United,CAM_Winger,Shots blocked,6
Bruno Fernandes,Manchester United,CAM_Winger,Blocks,35
Bruno Fernandes,Manchester United,CAM_Winger,Interceptions,26
Bruno Fernandes,Manchester United,CAM_Winger,Passes Recieved,1853
Bruno Fernandes,Manchester United,CAM_Winger,Offsides,2
Bruno Fernandes,Manchester United,CAM_Winger,Ball recoveries,213
Bruno Fernandes,Manchester United,CAM_Winger,Errors,3
Bruno Fernandes,Manchester United,CAM_Winger,Touches,2649
Bruno Fernandes,Manchester United,CAM_Winger,Miscontrols,43
Bruno Fernandes,Manchester United,CAM_Winger,Dispossessed,43
Bruno Fernandes,Manchester United,CAM_Winger,Yellow Cards,5
Bruno Fernandes,Manchester United,CAM_Winger,Red Cards,2
Bruno Fernandes,Manchester United,CAM_Winger,Fouls committed,32
Bruno Fernandes,Manchester United,CAM_Winger,Aerials Won,22
