Player Name,Club,Position,Metric,Value
Cole Palmer,Chelsea,CAM_Winger,Goals,15
Cole Palmer,Chelsea,CAM_Winger,Assists,8
Cole Palmer,Chelsea,CAM_Winger,NPG,11
Cole Palmer,Chelsea,CAM_Winger,XG,17.3
Cole Palmer,Chelsea,CAM_Winger,XA,10.9
Cole Palmer,Chelsea,CAM_Winger,Progressive passes,214
Cole Palmer,Chelsea,CAM_Winger,Progressive carries,120
Cole Palmer,Chelsea,CAM_Winger,Passes completed,1140
Cole Palmer,Chelsea,CAM_Winger,Passes attempted,1480
Cole Palmer,Chelsea,CAM_Winger,Key passes,87
Cole Palmer,Chelsea,CAM_Winger,Through balls,22
Cole Palmer,Chelsea,CAM_Winger,Switches,14
Cole Palmer,Chelsea,CAM_Winger,Crosses,144
Cole Palmer,Chelsea,CAM_Winger,Corners,75
Cole Palmer,Chelsea,CAM_Winger,Shot creating Actions,202
Cole Palmer,Chelsea,CAM_Winger,SCA Take Ons,16
Cole Palmer,Chelsea,CAM_Winger,GCA Shots,1
Cole Palmer,Chelsea,CAM_Winger,Goal Creating Actions,15
Cole Palmer,Chelsea,CAM_Winger,Tackles,34
Cole Palmer,Chelsea,CAM_Winger,Dribblers tackles,NA
Cole Palmer,Chelsea,CAM_Winger,Shots blocked,1
Cole Palmer,Chelsea,CAM_Winger,Blocks,16
Cole Palmer,Chelsea,CAM_Winger,Interceptions,11
Cole Palmer,Chelsea,CAM_Winger,Passes Recieved,1366
Cole Palmer,Chelsea,CAM_Winger,Offsides,7
Cole Palmer,Chelsea,CAM_Winger,Ball recoveries,106
Cole Palmer,Chelsea,CAM_Winger,Errors,1
Cole Palmer,Chelsea,CAM_Winger,Touches,1851
Cole Palmer,Chelsea,CAM_Winger,Miscontrols,71
Cole Palmer,Chelsea,CAM_Winger,Dispossessed,37
Cole Palmer,Chelsea,CAM_Winger,Yellow Cards,7
Cole Palmer,Chelsea,CAM_Winger,Red Cards,0
Cole Palmer,Chelsea,CAM_Winger,Fouls committed,15
Cole Palmer,Chelsea,CAM_Winger,Aerials Won,2
