Player Name,Club,Position,Metric,Value
Dani Olmo,Barcelona,CAM_Winger,Goals,10
Dani Olmo,Barcelona,CAM_Winger,Assists,3
Dani Olmo,Barcelona,CAM_Winger,NPG,8
Dani Olmo,Barcelona,CAM_Winger,XG,6.5
Dani Olmo,Barcelona,CAM_Winger,XA,3.0
Dani Olmo,Barcelona,CAM_Winger,Progressive passes,81
Dani Olmo,Barcelona,CAM_Winger,Progressive carries,33
Dani Olmo,Barcelona,CAM_Winger,Passes completed,520
Dani Olmo,Barcelona,CAM_Winger,Passes attempted,641
Dani Olmo,Barcelona,CAM_Winger,Key passes,26
Dani Olmo,Barcelona,CAM_Winger,Through balls,11
Dani Olmo,Barcelona,CAM_Winger,Switches,6
Dani Olmo,Barcelona,CAM_Winger,Crosses,21
Dani Olmo,Barcelona,CAM_Winger,Corners,11
Dani Olmo,Barcelona,CAM_Winger,Shot creating Actions,66
Dani Olmo,Barcelona,CAM_Winger,SCA Take Ons,7
Dani Olmo,Barcelona,CAM_Winger,GCA Shots,1
Dani Olmo,Barcelona,CAM_Winger,Goal Creating Actions,12
Dani Olmo,Barcelona,CAM_Winger,Tackles,16
Dani Olmo,Barcelona,CAM_Winger,Dribblers tackles,NA
Dani Olmo,Barcelona,CAM_Winger,Shots blocked,3
Dani Olmo,Barcelona,CAM_Winger,Blocks,6
Dani Olmo,Barcelona,CAM_Winger,Interceptions,3
Dani Olmo,Barcelona,CAM_Winger,Passes Recieved,662
Dani Olmo,Barcelona,CAM_Winger,Offsides,1
Dani Olmo,Barcelona,CAM_Winger,Ball recoveries,46
Dani Olmo,Barcelona,CAM_Winger,Errors,1
Dani Olmo,Barcelona,CAM_Winger,Touches,797
Dani Olmo,Barcelona,CAM_Winger,Miscontrols,35
Dani Olmo,Barcelona,CAM_Winger,Dispossessed,26
Dani Olmo,Barcelona,CAM_Winger,Yellow Cards,1
Dani Olmo,Barcelona,CAM_Winger,Red Cards,0
Dani Olmo,Barcelona,CAM_Winger,Fouls committed,21
Dani Olmo,Barcelona,CAM_Winger,Aerials Won,9
