Player Name,Club,Position,Metric,Value
Dominik Szoboszlai,Liverpool,CAM_Winger,Goals,6
Dominik Szoboszlai,Liverpool,CAM_Winger,Assists,6
Dominik Szoboszlai,Liverpool,CAM_Winger,NPG,6
Dominik Szoboszlai,Liverpool,CAM_Winger,XG,7.3
Dominik Szoboszlai,Liverpool,CAM_Winger,XA,7.4
Dominik Szoboszlai,Liverpool,CAM_Winger,Progressive passes,131
Dominik Szoboszlai,Liverpool,CAM_Winger,Progressive carries,72
Dominik Szoboszlai,Liverpool,CAM_Winger,Passes completed,1114
Dominik Szoboszlai,Liverpool,CAM_Winger,Passes attempted,1322
Dominik Szoboszlai,Liverpool,CAM_Winger,Key passes,56
Dominik Szoboszlai,Liverpool,CAM_Winger,Through balls,5
Dominik Szoboszlai,Liverpool,CAM_Winger,Switches,14
Dominik Szoboszlai,Liverpool,CAM_Winger,Crosses,41
Dominik Szoboszlai,Liverpool,CAM_Winger,Corners,17
Dominik Szoboszlai,Liverpool,CAM_Winger,Shot creating Actions,119
Dominik Szoboszlai,Liverpool,CAM_Winger,SCA Take Ons,5
Dominik Szoboszlai,Liverpool,CAM_Winger,GCA Shots,3
Dominik Szoboszlai,Liverpool,CAM_Winger,Goal Creating Actions,16
Dominik Szoboszlai,Liverpool,CAM_Winger,Tackles,38
Dominik Szoboszlai,Liverpool,CAM_Winger,Dribblers tackles,NA
Dominik Szoboszlai,Liverpool,CAM_Winger,Shots blocked,5
Dominik Szoboszlai,Liverpool,CAM_Winger,Blocks,39
Dominik Szoboszlai,Liverpool,CAM_Winger,Interceptions,9
Dominik Szoboszlai,Liverpool,CAM_Winger,Passes Recieved,1073
Dominik Szoboszlai,Liverpool,CAM_Winger,Offsides,4
Dominik Szoboszlai,Liverpool,CAM_Winger,Ball recoveries,133
Dominik Szoboszlai,Liverpool,CAM_Winger,Errors,2
Dominik Szoboszlai,Liverpool,CAM_Winger,Touches,1584
Dominik Szoboszlai,Liverpool,CAM_Winger,Miscontrols,37
Dominik Szoboszlai,Liverpool,CAM_Winger,Dispossessed,23
Dominik Szoboszlai,Liverpool,CAM_Winger,Yellow Cards,6
Dominik Szoboszlai,Liverpool,CAM_Winger,Red Cards,0
Dominik Szoboszlai,Liverpool,CAM_Winger,Fouls committed,44
Dominik Szoboszlai,Liverpool,CAM_Winger,Aerials Won,19
