Player Name,Club,Position,Metric,Value
Eberechi Eze,Arsenal,CAM_Winger,Goals,8
Eberechi Eze,Arsenal,CAM_Winger,Assists,8
Eberechi Eze,Arsenal,CAM_Winger,NPG,7
Eberechi Eze,Arsenal,CAM_Winger,XG,10.5
Eberechi Eze,Arsenal,CAM_Winger,XA,6.2
Eberechi Eze,Arsenal,CAM_Winger,Progressive passes,97
Eberechi Eze,Arsenal,CAM_Winger,Progressive carries,69
Eberechi Eze,Arsenal,CAM_Winger,Passes completed,777
Eberechi Eze,Arsenal,CAM_Winger,Passes attempted,1047
Eberechi Eze,Arsenal,CAM_Winger,Key passes,58
Eberechi Eze,Arsenal,CAM_Winger,Through balls,11
Eberechi Eze,Arsenal,CAM_Winger,Switches,6
Eberechi Eze,Arsenal,CAM_Winger,Crosses,112
Eberechi Eze,Arsenal,CAM_Winger,Corners,62
Eberechi Eze,Arsenal,CAM_Winger,Shot creating Actions,135
Eberechi Eze,Arsenal,CAM_Winger,SCA Take Ons,11
Eberechi Eze,Arsenal,CAM_Winger,GCA Shots,0
Eberechi Eze,Arsenal,CAM_Winger,Goal Creating Actions,10
Eberechi Eze,Arsenal,CAM_Winger,Tackles,39
Eberechi Eze,Arsenal,CAM_Winger,Dribblers tackles,NA
Eberechi Eze,Arsenal,CAM_Winger,Shots blocked,0
Eberechi Eze,Arsenal,CAM_Winger,Blocks,27
Eberechi Eze,Arsenal,CAM_Winger,Interceptions,11
Eberechi Eze,Arsenal,CAM_Winger,Passes Recieved,907
Eberechi Eze,Arsenal,CAM_Winger,Offsides,9
Eberechi Eze,Arsenal,CAM_Winger,Ball recoveries,146
Eberechi Eze,Arsenal,CAM_Winger,Errors,3
Eberechi Eze,Arsenal,CAM_Winger,Touches,1414
Eberechi Eze,Arsenal,CAM_Winger,Miscontrols,55
Eberechi Eze,Arsenal,CAM_Winger,Dispossessed,45
Eberechi Eze,Arsenal,CAM_Winger,Yellow Cards,1
Eberechi Eze,Arsenal,CAM_Winger,Red Cards,0
Eberechi Eze,Arsenal,CAM_Winger,Fouls committed,13
Eberechi Eze,Arsenal,CAM_Winger,Aerials Won,7
