Player Name,Club,Position,Metric,Value
Fabio Miretti,Juventus,CAM_Winger,Goals,3
Fabio Miretti,Juventus,CAM_Winger,Assists,3
Fabio Miretti,Juventus,CAM_Winger,NPG,3
Fabio Miretti,Juventus,CAM_Winger,XG,3.1
Fabio Miretti,Juventus,CAM_Winger,XA,2.0
Fabio Miretti,Juventus,CAM_Winger,Progressive passes,54
Fabio Miretti,Juventus,CAM_Winger,Progressive carries,33
Fabio Miretti,Juventus,CAM_Winger,Passes completed,422
Fabio Miretti,Juventus,CAM_Winger,Passes attempted,567
Fabio Miretti,Juventus,CAM_Winger,Key passes,22
Fabio Miretti,Juventus,CAM_Winger,Through balls,5
Fabio Miretti,Juventus,CAM_Winger,Switches,8
Fabio Miretti,Juventus,CAM_Winger,Crosses,61
Fabio Miretti,Juventus,CAM_Winger,Corners,33
Fabio Miretti,Juventus,CAM_Winger,Shot creating Actions,53
Fabio Miretti,Juventus,CAM_Winger,SCA Take Ons,4
Fabio Miretti,Juventus,CAM_Winger,GCA Shots,0
Fabio Miretti,Juventus,CAM_Winger,Goal Creating Actions,6
Fabio Miretti,Juventus,CAM_Winger,Tackles,28
Fabio Miretti,Juventus,CAM_Winger,Dribblers tackles,NA
Fabio Miretti,Juventus,CAM_Winger,Shots blocked,1
Fabio Miretti,Juventus,CAM_Winger,Blocks,20
Fabio Miretti,Juventus,CAM_Winger,Interceptions,7
Fabio Miretti,Juventus,CAM_Winger,Passes Recieved,549
Fabio Miretti,Juventus,CAM_Winger,Offsides,2
Fabio Miretti,Juventus,CAM_Winger,Ball recoveries,85
Fabio Miretti,Juventus,CAM_Winger,Errors,2
Fabio Miretti,Juventus,CAM_Winger,Touches,847
Fabio Miretti,Juventus,CAM_Winger,Miscontrols,63
Fabio Miretti,Juventus,CAM_Winger,Dispossessed,36
Fabio Miretti,Juventus,CAM_Winger,Yellow Cards,2
Fabio Miretti,Juventus,CAM_Winger,Red Cards,0
Fabio Miretti,Juventus,CAM_Winger,Fouls committed,23
Fabio Miretti,Juventus,CAM_Winger,Aerials Won,11
