Player Name,Club,Position,Metric,Value
Florian Wirtz,Liverpool,CAM_Winger,Goals,10
Florian Wirtz,Liverpool,CAM_Winger,Assists,12
Florian Wirtz,Liverpool,CAM_Winger,NPG,8
Florian Wirtz,Liverpool,CAM_Winger,XG,9.4
Florian Wirtz,Liverpool,CAM_Winger,XA,7.0
Florian Wirtz,Liverpool,CAM_Winger,Progressive passes,176
Florian Wirtz,Liverpool,CAM_Winger,Progressive carries,131
Florian Wirtz,Liverpool,CAM_Winger,Passes completed,1370
Florian Wirtz,Liverpool,CAM_Winger,Passes attempted,1749
Florian Wirtz,Liverpool,CAM_Winger,Key passes,57
Florian Wirtz,Liverpool,CAM_Winger,Through balls,26
Florian Wirtz,Liverpool,CAM_Winger,Switches,8
Florian Wirtz,Liverpool,CAM_Winger,Crosses,101
Florian Wirtz,Liverpool,CAM_Winger,Corners,42
Florian Wirtz,Liverpool,CAM_Winger,Shot creating Actions,148
Florian Wirtz,Liverpool,CAM_Winger,SCA Take Ons,23
Florian Wirtz,Liverpool,CAM_Winger,GCA Shots,3
Florian Wirtz,Liverpool,CAM_Winger,Goal Creating Actions,26
Florian Wirtz,Liverpool,CAM_Winger,Tackles,32
Florian Wirtz,Liverpool,CAM_Winger,Dribblers tackles,NA
Florian Wirtz,Liverpool,CAM_Winger,Shots blocked,3
Florian Wirtz,Liverpool,CAM_Winger,Blocks,32
Florian Wirtz,Liverpool,CAM_Winger,Interceptions,10
Florian Wirtz,Liverpool,CAM_Winger,Passes Recieved,1638
Florian Wirtz,Liverpool,CAM_Winger,Offsides,11
Florian Wirtz,Liverpool,CAM_Winger,Ball recoveries,113
Florian Wirtz,Liverpool,CAM_Winger,Errors,1
Florian Wirtz,Liverpool,CAM_Winger,Touches,2096
Florian Wirtz,Liverpool,CAM_Winger,Miscontrols,58
Florian Wirtz,Liverpool,CAM_Winger,Dispossessed,47
Florian Wirtz,Liverpool,CAM_Winger,Yellow Cards,3
Florian Wirtz,Liverpool,CAM_Winger,Red Cards,0
Florian Wirtz,Liverpool,CAM_Winger,Fouls committed,22
Florian Wirtz,Liverpool,CAM_Winger,Aerials Won,9
