Player Name,Club,Position,Metric,Value
Gio Reyna,Mönchengladbach,CAM_Winger,Goals,2
Gio Reyna,Mönchengladbach,CAM_Winger,Assists,0
Gio Reyna,Mönchengladbach,CAM_Winger,NPG,2
Gio Reyna,Mönchengladbach,CAM_Winger,XG,0.2
Gio Reyna,Mönchengladbach,CAM_Winger,XA,0.2
Gio Reyna,Mönchengladbach,CAM_Winger,Progressive passes,22
Gio Reyna,Mönchengladbach,CAM_Winger,Progressive carries,5
Gio Reyna,Mönchengladbach,CAM_Winger,Passes completed,167
Gio Reyna,Mönchengladbach,CAM_Winger,Passes attempted,212
Gio Reyna,Mönchengladbach,CAM_Winger,Key passes,2
Gio Reyna,Mönchengladbach,CAM_Winger,Through balls,2
Gio Reyna,Mönchengladbach,CAM_Winger,Switches,0
Gio Reyna,Mönchengladbach,CAM_Winger,Crosses,15
Gio Reyna,Mönchengladbach,CAM_Winger,Corners,5
Gio Reyna,Mönchengladbach,CAM_Winger,Shot creating Actions,6
Gio Reyna,Mönchengladbach,CAM_Winger,SCA Take Ons,1
Gio Reyna,Mönchengladbach,CAM_Winger,GCA Shots,0
Gio Reyna,Mönchengladbach,CAM_Winger,Goal Creating Actions,0
Gio Reyna,Mönchengladbach,CAM_Winger,Tackles,7
Gio Reyna,Mönchengladbach,CAM_Winger,Dribblers tackles,NA
Gio Reyna,Mönchengladbach,CAM_Winger,Shots blocked,1
Gio Reyna,Mönchengladbach,CAM_Winger,Blocks,3
Gio Reyna,Mönchengladbach,CAM_Winger,Interceptions,0
Gio Reyna,Mönchengladbach,CAM_Winger,Passes Recieved,181
Gio Reyna,Mönchengladbach,CAM_Winger,Offsides,0
Gio Reyna,Mönchengladbach,CAM_Winger,Ball recoveries,19
Gio Reyna,Mönchengladbach,CAM_Winger,Errors,0
Gio Reyna,Mönchengladbach,CAM_Winger,Touches,262
Gio Reyna,Mönchengladbach,CAM_Winger,Miscontrols,9
Gio Reyna,Mönchengladbach,CAM_Winger,Dispossessed,7
Gio Reyna,Mönchengladbach,CAM_Winger,Yellow Cards,3
Gio Reyna,Mönchengladbach,CAM_Winger,Red Cards,0
Gio Reyna,Mönchengladbach,CAM_Winger,Fouls committed,8
Gio Reyna,Mönchengladbach,CAM_Winger,Aerials Won,7
