Player Name,Club,Position,Metric,Value
Isco,Real Betis,CAM_Winger,Goals,9
Isco,Real Betis,CAM_Winger,Assists,8
Isco,Real Betis,CAM_Winger,NPG,4
Isco,Real Betis,CAM_Winger,XG,8.6
Isco,Real Betis,CAM_Winger,XA,4.4
Isco,Real Betis,CAM_Winger,Progressive passes,152
Isco,Real Betis,CAM_Winger,Progressive carries,38
Isco,Real Betis,CAM_Winger,Passes completed,957
Isco,Real Betis,CAM_Winger,Passes attempted,1173
Isco,Real Betis,CAM_Winger,Key passes,61
Isco,Real Betis,CAM_Winger,Through balls,6
Isco,Real Betis,CAM_Winger,Switches,27
Isco,Real Betis,CAM_Winger,Crosses,92
Isco,Real Betis,CAM_Winger,Corners,72
Isco,Real Betis,CAM_Winger,Shot creating Actions,111
Isco,Real Betis,CAM_Winger,SCA Take Ons,3
Isco,Real Betis,CAM_Winger,GCA Shots,0
Isco,Real Betis,CAM_Winger,Goal Creating Actions,14
Isco,Real Betis,CAM_Winger,Tackles,20
Isco,Real Betis,CAM_Winger,Dribblers tackles,NA
Isco,Real Betis,CAM_Winger,Shots blocked,0
Isco,Real Betis,CAM_Winger,Blocks,10
Isco,Real Betis,CAM_Winger,Interceptions,11
Isco,Real Betis,CAM_Winger,Passes Recieved,1059
Isco,Real Betis,CAM_Winger,Offsides,4
Isco,Real Betis,CAM_Winger,Ball recoveries,71
Isco,Real Betis,CAM_Winger,Errors,0
Isco,Real Betis,CAM_Winger,Touches,1381
Isco,Real Betis,CAM_Winger,Miscontrols,54
Isco,Real Betis,CAM_Winger,Dispossessed,27
Isco,Real Betis,CAM_Winger,Yellow Cards,5
Isco,Real Betis,CAM_Winger,Red Cards,0
Isco,Real Betis,CAM_Winger,Fouls committed,23
Isco,Real Betis,CAM_Winger,Aerials Won,13
