Player Name,Club,Position,Metric,Value
Jamal Musiala,Bayern Munich,CAM_Winger,Goals,12
Jamal Musiala,Bayern Munich,CAM_Winger,Assists,2
Jamal Musiala,Bayern Munich,CAM_Winger,NPG,12
Jamal Musiala,Bayern Munich,CAM_Winger,XG,9.3
Jamal Musiala,Bayern Munich,CAM_Winger,XA,4.5
Jamal Musiala,Bayern Munich,CAM_Winger,Progressive passes,107
Jamal Musiala,Bayern Munich,CAM_Winger,Progressive carries,71
Jamal Musiala,Bayern Munich,CAM_Winger,Passes completed,778
Jamal Musiala,Bayern Munich,CAM_Winger,Passes attempted,942
Jamal Musiala,Bayern Munich,CAM_Winger,Key passes,41
Jamal Musiala,Bayern Munich,CAM_Winger,Through balls,14
Jamal Musiala,Bayern Munich,CAM_Winger,Switches,2
Jamal Musiala,Bayern Munich,CAM_Winger,Crosses,8
Jamal Musiala,Bayern Munich,CAM_Winger,Corners,7
Jamal Musiala,Bayern Munich,CAM_Winger,Shot creating Actions,111
Jamal Musiala,Bayern Munich,CAM_Winger,SCA Take Ons,22
Jamal Musiala,Bayern Munich,CAM_Winger,GCA Shots,1
Jamal Musiala,Bayern Munich,CAM_Winger,Goal Creating Actions,9
Jamal Musiala,Bayern Munich,CAM_Winger,Tackles,36
Jamal Musiala,Bayern Munich,CAM_Winger,Dribblers tackles,NA
Jamal Musiala,Bayern Munich,CAM_Winger,Shots blocked,0
Jamal Musiala,Bayern Munich,CAM_Winger,Blocks,30
Jamal Musiala,Bayern Munich,CAM_Winger,Interceptions,8
Jamal Musiala,Bayern Munich,CAM_Winger,Passes Recieved,1031
Jamal Musiala,Bayern Munich,CAM_Winger,Offsides,2
Jamal Musiala,Bayern Munich,CAM_Winger,Ball recoveries,75
Jamal Musiala,Bayern Munich,CAM_Winger,Errors,1
Jamal Musiala,Bayern Munich,CAM_Winger,Touches,1278
Jamal Musiala,Bayern Munich,CAM_Winger,Miscontrols,67
Jamal Musiala,Bayern Munich,CAM_Winger,Dispossessed,33
Jamal Musiala,Bayern Munich,CAM_Winger,Yellow Cards,3
Jamal Musiala,Bayern Munich,CAM_Winger,Red Cards,0
Jamal Musiala,Bayern Munich,CAM_Winger,Fouls committed,20
Jamal Musiala,Bayern Munich,CAM_Winger,Aerials Won,7
