Player Name,Club,Position,Metric,Value
Julian Brandt,Dortmund,CAM_Winger,Goals,5
Julian Brandt,Dortmund,CAM_Winger,Assists,10
Julian Brandt,Dortmund,CAM_Winger,NPG,5
Julian Brandt,Dortmund,CAM_Winger,XG,4.8
Julian Brandt,Dortmund,CAM_Winger,XA,8.5
Julian Brandt,Dortmund,CAM_Winger,Progressive passes,149
Julian Brandt,Dortmund,CAM_Winger,Progressive carries,61
Julian Brandt,Dortmund,CAM_Winger,Passes completed,953
Julian Brandt,Dortmund,CAM_Winger,Passes attempted,1209
Julian Brandt,Dortmund,CAM_Winger,Key passes,61
Julian Brandt,Dortmund,CAM_Winger,Through balls,18
Julian Brandt,Dortmund,CAM_Winger,Switches,3
Julian Brandt,Dortmund,CAM_Winger,Crosses,71
Julian Brandt,Dortmund,CAM_Winger,Corners,20
Julian Brandt,Dortmund,CAM_Winger,Shot creating Actions,102
Julian Brandt,Dortmund,CAM_Winger,SCA Take Ons,2
Julian Brandt,Dortmund,CAM_Winger,GCA Shots,0
Julian Brandt,Dortmund,CAM_Winger,Goal Creating Actions,14
Julian Brandt,Dortmund,CAM_Winger,Tackles,26
Julian Brandt,Dortmund,CAM_Winger,Dribblers tackles,NA
Julian Brandt,Dortmund,CAM_Winger,Shots blocked,0
Julian Brandt,Dortmund,CAM_Winger,Blocks,17
Julian Brandt,Dortmund,CAM_Winger,Interceptions,14
Julian Brandt,Dortmund,CAM_Winger,Passes Recieved,1097
Julian Brandt,Dortmund,CAM_Winger,Offsides,5
Julian Brandt,Dortmund,CAM_Winger,Ball recoveries,119
Julian Brandt,Dortmund,CAM_Winger,Errors,1
Julian Brandt,Dortmund,CAM_Winger,Touches,1455
Julian Brandt,Dortmund,CAM_Winger,Miscontrols,48
Julian Brandt,Dortmund,CAM_Winger,Dispossessed,36
Julian Brandt,Dortmund,CAM_Winger,Yellow Cards,1
Julian Brandt,Dortmund,CAM_Winger,Red Cards,0
Julian Brandt,Dortmund,CAM_Winger,Fouls committed,8
Julian Brandt,Dortmund,CAM_Winger,Aerials Won,11
