Player Name,Club,Position,Metric,Value
Lucas Paquetá,West Ham United,CAM_Winger,Goals,4
Lucas Paquetá,West Ham United,CAM_Winger,Assists,0
Lucas Paquetá,West Ham United,CAM_Winger,NPG,2
Lucas Paquetá,West Ham United,CAM_Winger,XG,5.3
Lucas Paquetá,West Ham United,CAM_Winger,XA,3.1
Lucas Paquetá,West Ham United,CAM_Winger,Progressive passes,155
Lucas Paquetá,West Ham United,CAM_Winger,Progressive carries,26
Lucas Paquetá,West Ham United,CAM_Winger,Passes completed,1126
Lucas Paquetá,West Ham United,CAM_Winger,Passes attempted,1456
Lucas Paquetá,West Ham United,CAM_Winger,Key passes,36
Lucas Paquetá,West Ham United,CAM_Winger,Through balls,18
Lucas Paquetá,West Ham United,CAM_Winger,Switches,12
Lucas Paquetá,West Ham United,CAM_Winger,Crosses,29
Lucas Paquetá,West Ham United,CAM_Winger,Corners,4
Lucas Paquetá,West Ham United,CAM_Winger,Shot creating Actions,82
Lucas Paquetá,West Ham United,CAM_Winger,SCA Take Ons,2
Lucas Paquetá,West Ham United,CAM_Winger,GCA Shots,2
Lucas Paquetá,West Ham United,CAM_Winger,Goal Creating Actions,6
Lucas Paquetá,West Ham United,CAM_Winger,Tackles,66
Lucas Paquetá,West Ham United,CAM_Winger,Dribblers tackles,NA
Lucas Paquetá,West Ham United,CAM_Winger,Shots blocked,4
Lucas Paquetá,West Ham United,CAM_Winger,Blocks,29
Lucas Paquetá,West Ham United,CAM_Winger,Interceptions,18
Lucas Paquetá,West Ham United,CAM_Winger,Passes Recieved,1268
Lucas Paquetá,West Ham United,CAM_Winger,Offsides,6
Lucas Paquetá,West Ham United,CAM_Winger,Ball recoveries,149
Lucas Paquetá,West Ham United,CAM_Winger,Errors,6
Lucas Paquetá,West Ham United,CAM_Winger,Touches,1796
Lucas Paquetá,West Ham United,CAM_Winger,Miscontrols,54
Lucas Paquetá,West Ham United,CAM_Winger,Dispossessed,51
Lucas Paquetá,West Ham United,CAM_Winger,Yellow Cards,10
Lucas Paquetá,West Ham United,CAM_Winger,Red Cards,0
Lucas Paquetá,West Ham United,CAM_Winger,Fouls committed,53
Lucas Paquetá,West Ham United,CAM_Winger,Aerials Won,48
