Player Name,Club,Position,Metric,Value
Luciano Acosta,Fluminense,CAM_Winger,Goals,NA
Luciano Acosta,Fluminense,CAM_Winger,Assists,NA
Luciano Acosta,Fluminense,CAM_Winger,NPG,NA
Luciano Acosta,Fluminense,CAM_Winger,XG,NA
Luciano Acosta,Fluminense,CAM_Winger,XA,NA
Luciano Acosta,Fluminense,CAM_Winger,Progressive passes,NA
Luciano Acosta,Fluminense,CAM_Winger,Progressive carries,NA
Luciano Acosta,Fluminense,CAM_Winger,Passes completed,NA
Luciano Acosta,Fluminense,CAM_Winger,Passes attempted,NA
Luciano Acosta,Fluminense,CAM_Winger,Key passes,NA
Luciano Acosta,Fluminense,CAM_Winger,Through balls,NA
Luciano Acosta,Fluminense,CAM_Winger,Switches,NA
Luciano Acosta,Fluminense,CAM_Winger,Crosses,NA
Luciano Acosta,Fluminense,CAM_Winger,Corners,NA
Luciano Acosta,Fluminense,CAM_Winger,Shot creating Actions,NA
Luciano Acosta,Fluminense,CAM_Winger,SCA Take Ons,NA
Luciano Acosta,Fluminense,CAM_Winger,GCA Shots,NA
Luciano Acosta,Fluminense,CAM_Winger,Goal Creating Actions,NA
Luciano Acosta,Fluminense,CAM_Winger,Tackles,NA
Luciano Acosta,Fluminense,CAM_Winger,Dribblers tackles,NA
Luciano Acosta,Fluminense,CAM_Winger,Shots blocked,NA
Luciano Acosta,Fluminense,CAM_Winger,Blocks,NA
Luciano Acosta,Fluminense,CAM_Winger,Interceptions,NA
Luciano Acosta,Fluminense,CAM_Winger,Passes Recieved,NA
Luciano Acosta,Fluminense,CAM_Winger,Offsides,NA
Luciano Acosta,Fluminense,CAM_Winger,Ball recoveries,NA
Luciano Acosta,Fluminense,CAM_Winger,Errors,NA
Luciano Acosta,Fluminense,CAM_Winger,Touches,NA
Luciano Acosta,Fluminense,CAM_Winger,Miscontrols,NA
Luciano Acosta,Fluminense,CAM_Winger,Dispossessed,NA
Luciano Acosta,Fluminense,CAM_Winger,Yellow Cards,NA
Luciano Acosta,Fluminense,CAM_Winger,Red Cards,NA
Luciano Acosta,Fluminense,CAM_Winger,Fouls committed,NA
Luciano Acosta,Fluminense,CAM_Winger,Aerials Won,NA
