Player Name,Club,Position,Metric,Value
Oihan Sancet,Athletic Club,CAM_Winger,Goals,15
Oihan Sancet,Athletic Club,CAM_Winger,Assists,1
Oihan Sancet,Athletic Club,CAM_Winger,NPG,12
Oihan Sancet,Athletic Club,CAM_Winger,XG,9.7
Oihan Sancet,Athletic Club,CAM_Winger,XA,1.9
Oihan Sancet,Athletic Club,CAM_Winger,Progressive passes,90
Oihan Sancet,Athletic Club,CAM_Winger,Progressive carries,52
Oihan Sancet,Athletic Club,CAM_Winger,Passes completed,461
Oihan Sancet,Athletic Club,CAM_Winger,Passes attempted,569
Oihan Sancet,Athletic Club,CAM_Winger,Key passes,21
Oihan Sancet,Athletic Club,CAM_Winger,Through balls,5
Oihan Sancet,Athletic Club,CAM_Winger,Switches,4
Oihan Sancet,Athletic Club,CAM_Winger,Crosses,18
Oihan Sancet,Athletic Club,CAM_Winger,Corners,0
Oihan Sancet,Athletic Club,CAM_Winger,Shot creating Actions,50
Oihan Sancet,Athletic Club,CAM_Winger,SCA Take Ons,4
Oihan Sancet,Athletic Club,CAM_Winger,GCA Shots,3
Oihan Sancet,Athletic Club,CAM_Winger,Goal Creating Actions,8
Oihan Sancet,Athletic Club,CAM_Winger,Tackles,13
Oihan Sancet,Athletic Club,CAM_Winger,Dribblers tackles,NA
Oihan Sancet,Athletic Club,CAM_Winger,Shots blocked,0
Oihan Sancet,Athletic Club,CAM_Winger,Blocks,10
Oihan Sancet,Athletic Club,CAM_Winger,Interceptions,5
Oihan Sancet,Athletic Club,CAM_Winger,Passes Recieved,610
Oihan Sancet,Athletic Club,CAM_Winger,Offsides,5
Oihan Sancet,Athletic Club,CAM_Winger,Ball recoveries,77
Oihan Sancet,Athletic Club,CAM_Winger,Errors,0
Oihan Sancet,Athletic Club,CAM_Winger,Touches,767
Oihan Sancet,Athletic Club,CAM_Winger,Miscontrols,56
Oihan Sancet,Athletic Club,CAM_Winger,Dispossessed,45
Oihan Sancet,Athletic Club,CAM_Winger,Yellow Cards,2
Oihan Sancet,Athletic Club,CAM_Winger,Red Cards,0
Oihan Sancet,Athletic Club,CAM_Winger,Fouls committed,16
Oihan Sancet,Athletic Club,CAM_Winger,Aerials Won,12
