Player Name,Club,Position,Metric,Value
Paulo Dybala,Roma,CAM_Winger,Goals,6
Paulo Dybala,Roma,CAM_Winger,Assists,3
Paulo Dybala,Roma,CAM_Winger,NPG,3
Paulo Dybala,Roma,CAM_Winger,XG,6.4
Paulo Dybala,Roma,CAM_Winger,XA,5.0
Paulo Dybala,Roma,CAM_Winger,Progressive passes,79
Paulo Dybala,Roma,CAM_Winger,Progressive carries,41
Paulo Dybala,Roma,CAM_Winger,Passes completed,596
Paulo Dybala,Roma,CAM_Winger,Passes attempted,729
Paulo Dybala,Roma,CAM_Winger,Key passes,40
Paulo Dybala,Roma,CAM_Winger,Through balls,2
Paulo Dybala,Roma,CAM_Winger,Switches,16
Paulo Dybala,Roma,CAM_Winger,Crosses,62
Paulo Dybala,Roma,CAM_Winger,Corners,36
Paulo Dybala,Roma,CAM_Winger,Shot creating Actions,84
Paulo Dybala,Roma,CAM_Winger,SCA Take Ons,1
Paulo Dybala,Roma,CAM_Winger,GCA Shots,0
Paulo Dybala,Roma,CAM_Winger,Goal Creating Actions,8
Paulo Dybala,Roma,CAM_Winger,Tackles,17
Paulo Dybala,Roma,CAM_Winger,Dribblers tackles,NA
Paulo Dybala,Roma,CAM_Winger,Shots blocked,1
Paulo Dybala,Roma,CAM_Winger,Blocks,12
Paulo Dybala,Roma,CAM_Winger,Interceptions,2
Paulo Dybala,Roma,CAM_Winger,Passes Recieved,709
Paulo Dybala,Roma,CAM_Winger,Offsides,6
Paulo Dybala,Roma,CAM_Winger,Ball recoveries,63
Paulo Dybala,Roma,CAM_Winger,Errors,0
Paulo Dybala,Roma,CAM_Winger,Touches,909
Paulo Dybala,Roma,CAM_Winger,Miscontrols,40
Paulo Dybala,Roma,CAM_Winger,Dispossessed,28
Paulo Dybala,Roma,CAM_Winger,Yellow Cards,2
Paulo Dybala,Roma,CAM_Winger,Red Cards,0
Paulo Dybala,Roma,CAM_Winger,Fouls committed,6
Paulo Dybala,Roma,CAM_Winger,Aerials Won,8
