Player Name,Club,Position,Metric,Value
Pedro Gonçalves,Sporting CP,CAM_Winger,Goals,5
Pedro Gonçalves,Sporting CP,CAM_Winger,Assists,4
Pedro Gonçalves,Sporting CP,CAM_Winger,NPG,5
Pedro Gonçalves,Sporting CP,CAM_Winger,XG,4.2
Pedro Gonçalves,Sporting CP,CAM_Winger,XA,4.1
Pedro Gonçalves,Sporting CP,CAM_Winger,Progressive passes,51
Pedro Gonçalves,Sporting CP,CAM_Winger,Progressive carries,21
Pedro Gonçalves,Sporting CP,CAM_Winger,Passes completed,281
Pedro Gonçalves,Sporting CP,CAM_Winger,Passes attempted,372
Pedro Gonçalves,Sporting CP,CAM_Winger,Key passes,42
Pedro Gonçalves,Sporting CP,CAM_Winger,Through balls,10
Pedro Gonçalves,Sporting CP,CAM_Winger,Switches,3
Pedro Gonçalves,Sporting CP,CAM_Winger,Crosses,38
Pedro Gonçalves,Sporting CP,CAM_Winger,Corners,21
Pedro Gonçalves,Sporting CP,CAM_Winger,Shot creating Actions,65
Pedro Gonçalves,Sporting CP,CAM_Winger,SCA Take Ons,2
Pedro Gonçalves,Sporting CP,CAM_Winger,GCA Shots,1
Pedro Gonçalves,Sporting CP,CAM_Winger,Goal Creating Actions,6
Pedro Gonçalves,Sporting CP,CAM_Winger,Tackles,13
Pedro Gonçalves,Sporting CP,CAM_Winger,Dribblers tackles,NA
Pedro Gonçalves,Sporting CP,CAM_Winger,Shots blocked,1
Pedro Gonçalves,Sporting CP,CAM_Winger,Blocks,6
Pedro Gonçalves,Sporting CP,CAM_Winger,Interceptions,5
Pedro Gonçalves,Sporting CP,CAM_Winger,Passes Recieved,350
Pedro Gonçalves,Sporting CP,CAM_Winger,Offsides,2
Pedro Gonçalves,Sporting CP,CAM_Winger,Ball recoveries,32
Pedro Gonçalves,Sporting CP,CAM_Winger,Errors,0
Pedro Gonçalves,Sporting CP,CAM_Winger,Touches,521
Pedro Gonçalves,Sporting CP,CAM_Winger,Miscontrols,29
Pedro Gonçalves,Sporting CP,CAM_Winger,Dispossessed,15
Pedro Gonçalves,Sporting CP,CAM_Winger,Yellow Cards,3
Pedro Gonçalves,Sporting CP,CAM_Winger,Red Cards,0
Pedro Gonçalves,Sporting CP,CAM_Winger,Fouls committed,11
Pedro Gonçalves,Sporting CP,CAM_Winger,Aerials Won,2
