Player Name,Club,Position,Metric,Value
Thomas Müller,Vancouver Whitecaps FC,CAM_Winger,Goals,1
Thomas Müller,Vancouver Whitecaps FC,CAM_Winger,Assists,4
Thomas Müller,Vancouver Whitecaps FC,CAM_Winger,NPG,1
Thomas Müller,Vancouver Whitecaps FC,CAM_Winger,XG,3.8
Thomas Müller,Vancouver Whitecaps FC,CAM_Winger,XA,2.9
Thomas Müller,Vancouver Whitecaps FC,CAM_Winger,Progressive passes,50
Thomas Müller,Vancouver Whitecaps FC,CAM_Winger,Progressive carries,24
Thomas Müller,Vancouver Whitecaps FC,CAM_Winger,Passes completed,473
Thomas Müller,Vancouver Whitecaps FC,CAM_Winger,Passes attempted,631
Thomas Müller,Vancouver Whitecaps FC,CAM_Winger,Key passes,35
Thomas Müller,Vancouver Whitecaps FC,CAM_Winger,Through balls,8
Thomas Müller,Vancouver Whitecaps FC,CAM_Winger,Switches,3
Thomas Müller,Vancouver Whitecaps FC,CAM_Winger,Crosses,46
Thomas Müller,Vancouver Whitecaps FC,CAM_Winger,Corners,0
Thomas Müller,Vancouver Whitecaps FC,CAM_Winger,Shot creating Actions,73
Thomas Müller,Vancouver Whitecaps FC,CAM_Winger,SCA Take Ons,3
Thomas Müller,Vancouver Whitecaps FC,CAM_Winger,GCA Shots,1
Thomas Müller,Vancouver Whitecaps FC,CAM_Winger,Goal Creating Actions,9
Thomas Müller,Vancouver Whitecaps FC,CAM_Winger,Tackles,8
Thomas Müller,Vancouver Whitecaps FC,CAM_Winger,Dribblers tackles,NA
Thomas Müller,Vancouver Whitecaps FC,CAM_Winger,Shots blocked,0
Thomas Müller,Vancouver Whitecaps FC,CAM_Winger,Blocks,10
Thomas Müller,Vancouver Whitecaps FC,CAM_Winger,Interceptions,2
Thomas Müller,Vancouver Whitecaps FC,CAM_Winger,Passes Recieved,619
Thomas Müller,Vancouver Whitecaps FC,CAM_Winger,Offsides,3
Thomas Müller,Vancouver Whitecaps FC,CAM_Winger,Ball recoveries,24
Thomas Müller,Vancouver Whitecaps FC,CAM_Winger,Errors,0
Thomas Müller,Vancouver Whitecaps FC,CAM_Winger,Touches,763
Thomas Müller,Vancouver Whitecaps FC,CAM_Winger,Miscontrols,24
Thomas Müller,Vancouver Whitecaps FC,CAM_Winger,Dispossessed,20
Thomas Müller,Vancouver Whitecaps FC,CAM_Winger,Yellow Cards,3
Thomas Müller,Vancouver Whitecaps FC,CAM_Winger,Red Cards,0
Thomas Müller,Vancouver Whitecaps FC,CAM_Winger,Fouls committed,14
Thomas Müller,Vancouver Whitecaps FC,CAM_Winger,Aerials Won,19
