Player Name,Club,Position,Metric,Value
Xavi Simons,Tottenham Hotspur,CAM_Winger,Goals,10
Xavi Simons,Tottenham Hotspur,CAM_Winger,Assists,6
Xavi Simons,Tottenham Hotspur,CAM_Winger,NPG,10
Xavi Simons,Tottenham Hotspur,CAM_Winger,XG,5.1
Xavi Simons,Tottenham Hotspur,CAM_Winger,XA,6.3
Xavi Simons,Tottenham Hotspur,CAM_Winger,Progressive passes,140
Xavi Simons,Tottenham Hotspur,CAM_Winger,Progressive carries,85
Xavi Simons,Tottenham Hotspur,CAM_Winger,Passes completed,944
Xavi Simons,Tottenham Hotspur,CAM_Winger,Passes attempted,1201
Xavi Simons,Tottenham Hotspur,CAM_Winger,Key passes,51
Xavi Simons,Tottenham Hotspur,CAM_Winger,Through balls,23
Xavi Simons,Tottenham Hotspur,CAM_Winger,Switches,4
Xavi Simons,Tottenham Hotspur,CAM_Winger,Crosses,79
Xavi Simons,Tottenham Hotspur,CAM_Winger,Corners,58
Xavi Simons,Tottenham Hotspur,CAM_Winger,Shot creating Actions,108
Xavi Simons,Tottenham Hotspur,CAM_Winger,SCA Take Ons,3
Xavi Simons,Tottenham Hotspur,CAM_Winger,GCA Shots,2
Xavi Simons,Tottenham Hotspur,CAM_Winger,Goal Creating Actions,12
Xavi Simons,Tottenham Hotspur,CAM_Winger,Tackles,28
Xavi Simons,Tottenham Hotspur,CAM_Winger,Dribblers tackles,NA
Xavi Simons,Tottenham Hotspur,CAM_Winger,Shots blocked,3
Xavi Simons,Tottenham Hotspur,CAM_Winger,Blocks,19
Xavi Simons,Tottenham Hotspur,CAM_Winger,Interceptions,12
Xavi Simons,Tottenham Hotspur,CAM_Winger,Passes Recieved,1112
Xavi Simons,Tottenham Hotspur,CAM_Winger,Offsides,5
Xavi Simons,Tottenham Hotspur,CAM_Winger,Ball recoveries,128
Xavi Simons,Tottenham Hotspur,CAM_Winger,Errors,1
Xavi Simons,Tottenham Hotspur,CAM_Winger,Touches,1557
Xavi Simons,Tottenham Hotspur,CAM_Winger,Miscontrols,73
Xavi Simons,Tottenham Hotspur,CAM_Winger,Dispossessed,55
Xavi Simons,Tottenham Hotspur,CAM_Winger,Yellow Cards,5
Xavi Simons,Tottenham Hotspur,CAM_Winger,Red Cards,0
Xavi Simons,Tottenham Hotspur,CAM_Winger,Fouls committed,24
Xavi Simons,Tottenham Hotspur,CAM_Winger,Aerials Won,19
