Player Name,Club,Position,Metric,Value
Alessandro Bastoni,Internazionale,CB,Goals,1
Alessandro Bastoni,Internazionale,CB,Assists,5
Alessandro Bastoni,Internazionale,CB,Progressive Carries,62
Alessandro Bastoni,Internazionale,CB,Progressive Passes,162
Alessandro Bastoni,Internazionale,CB,Pass Completion - Short,95.4
Alessandro Bastoni,Internazionale,CB,Pass Completion - Medium,92.7
Alessandro Bastoni,Internazionale,CB,Pass Completion - Long,66.9
Alessandro Bastoni,Internazionale,CB,Through Balls,3
Alessandro Bastoni,Internazionale,CB,Switches,22
Alessandro Bastoni,Internazionale,CB,Shot Creating Actions,71
Alessandro Bastoni,Internazionale,CB,Tackles,46
Alessandro Bastoni,Internazionale,CB,Challenges Lost,10
Alessandro Bastoni,Internazionale,CB,Interceptions,22
Alessandro Bastoni,Internazionale,CB,Errors,1
Alessandro Bastoni,Internazionale,CB,Touches,2446
Alessandro Bastoni,Internazionale,CB,Miscontrols,26
Alessandro Bastoni,Internazionale,CB,Dispossessed,5
Alessandro Bastoni,Internazionale,CB,Yellow Cards,6
Alessandro Bastoni,Internazionale,CB,Red Cards,1
Alessandro Bastoni,Internazionale,CB,Fouls Committed,44
Alessandro Bastoni,Internazionale,CB,Penalty kicks conceded,0
Alessandro Bastoni,Internazionale,CB,Aerial Duel win percentage,64.7
