Player Name,Club,Position,Metric,Value
Giorgio Scalvini,Atalanta,CB,Goals,0
Giorgio Scalvini,Atalanta,CB,Assists,0
Giorgio Scalvini,Atalanta,CB,Progressive Carries,5
Giorgio Scalvini,Atalanta,CB,Progressive Passes,20
Giorgio Scalvini,Atalanta,CB,Pass Completion - Short,89.7
Giorgio Scalvini,Atalanta,CB,Pass Completion - Medium,89.3
Giorgio Scalvini,Atalanta,CB,Pass Completion - Long,65.0
Giorgio Scalvini,Atalanta,CB,Through Balls,1
Giorgio Scalvini,Atalanta,CB,Switches,2
Giorgio Scalvini,Atalanta,CB,Shot Creating Actions,1
Giorgio Scalvini,Atalanta,CB,Tackles,8
Giorgio Scalvini,Atalanta,CB,Challenges Lost,4
Giorgio Scalvini,Atalanta,CB,Interceptions,4
Giorgio Scalvini,Atalanta,CB,Errors,0
Giorgio Scalvini,Atalanta,CB,Touches,228
Giorgio Scalvini,Atalanta,CB,Miscontrols,2
Giorgio Scalvini,Atalanta,CB,Dispossessed,0
Giorgio Scalvini,Atalanta,CB,Yellow Cards,2
Giorgio Scalvini,Atalanta,CB,Red Cards,0
Giorgio Scalvini,Atalanta,CB,Fouls Committed,7
Giorgio Scalvini,Atalanta,CB,Penalty kicks conceded,0
Giorgio Scalvini,Atalanta,CB,Aerial Duel win percentage,57.1
