Player Name,Club,Position,Metric,Value
Jarrad Branthwaite,Everton,CB,Goals,0
Jarrad Branthwaite,Everton,CB,Assists,1
Jarrad Branthwaite,Everton,CB,Progressive Carries,10
Jarrad Branthwaite,Everton,CB,Progressive Passes,66
Jarrad Branthwaite,Everton,CB,Pass Completion - Short,90.0
Jarrad Branthwaite,Everton,CB,Pass Completion - Medium,90.5
Jarrad Branthwaite,Everton,CB,Pass Completion - Long,55.5
Jarrad Branthwaite,Everton,CB,Through Balls,1
Jarrad Branthwaite,Everton,CB,Switches,17
Jarrad Branthwaite,Everton,CB,Shot Creating Actions,13
Jarrad Branthwaite,Everton,CB,Tackles,36
Jarrad Branthwaite,Everton,CB,Challenges Lost,8
Jarrad Branthwaite,Everton,CB,Interceptions,27
Jarrad Branthwaite,Everton,CB,Errors,4
Jarrad Branthwaite,Everton,CB,Touches,1520
Jarrad Branthwaite,Everton,CB,Miscontrols,8
Jarrad Branthwaite,Everton,CB,Dispossessed,4
Jarrad Branthwaite,Everton,CB,Yellow Cards,4
Jarrad Branthwaite,Everton,CB,Red Cards,0
Jarrad Branthwaite,Everton,CB,Fouls Committed,12
Jarrad Branthwaite,Everton,CB,Penalty kicks conceded,0
Jarrad Branthwaite,Everton,CB,Aerial Duel win percentage,59.2
