Player Name,Club,Position,Metric,Value
Josip Šutalo,Ajax,CB,Goals,2
Josip Šutalo,Ajax,CB,Assists,0
Josip Šutalo,Ajax,CB,Progressive Carries,26
Josip Šutalo,Ajax,CB,Progressive Passes,138
Josip Šutalo,Ajax,CB,Pass Completion - Short,96.7
Josip Šutalo,Ajax,CB,Pass Completion - Medium,96.1
Josip Šutalo,Ajax,CB,Pass Completion - Long,68.6
Josip Šutalo,Ajax,CB,Through Balls,4
Josip Šutalo,Ajax,CB,Switches,6
Josip Šutalo,Ajax,CB,Shot Creating Actions,28
Josip Šutalo,Ajax,CB,Tackles,29
Josip Šutalo,Ajax,CB,Challenges Lost,9
Josip Šutalo,Ajax,CB,Interceptions,63
Josip Šutalo,Ajax,CB,Errors,4
Josip Šutalo,Ajax,CB,Touches,2607
Josip Šutalo,Ajax,CB,Miscontrols,19
Josip Šutalo,Ajax,CB,Dispossessed,11
Josip Šutalo,Ajax,CB,Yellow Cards,3
Josip Šutalo,Ajax,CB,Red Cards,0
Josip Šutalo,Ajax,CB,Fouls Committed,13
Josip Šutalo,Ajax,CB,Penalty kicks conceded,0
Josip Šutalo,Ajax,CB,Aerial Duel win percentage,62.5
