Player Name,Club,Position,Metric,Value
Joško Gvardiol,Manchester City,CB,Goals,5
Joško Gvardiol,Manchester City,CB,Assists,0
Joško Gvardiol,Manchester City,CB,Progressive Carries,91
Joško Gvardiol,Manchester City,CB,Progressive Passes,264
Joško Gvardiol,Manchester City,CB,Pass Completion - Short,94.0
Joško Gvardiol,Manchester City,CB,Pass Completion - Medium,92.7
Joško Gvardiol,Manchester City,CB,Pass Completion - Long,66.0
Joško Gvardiol,Manchester City,CB,Through Balls,6
Joško Gvardiol,Manchester City,CB,Switches,11
Joško Gvardiol,Manchester City,CB,Shot Creating Actions,76
Joško Gvardiol,Manchester City,CB,Tackles,58
Joško Gvardiol,Manchester City,CB,Challenges Lost,19
Joško Gvardiol,Manchester City,CB,Interceptions,44
Joško Gvardiol,Manchester City,CB,Errors,8
Joško Gvardiol,Manchester City,CB,Touches,3103
Joško Gvardiol,Manchester City,CB,Miscontrols,29
Joško Gvardiol,Manchester City,CB,Dispossessed,16
Joško Gvardiol,Manchester City,CB,Yellow Cards,2
Joško Gvardiol,Manchester City,CB,Red Cards,0
Joško Gvardiol,Manchester City,CB,Fouls Committed,16
Joško Gvardiol,Manchester City,CB,Penalty kicks conceded,0
Joško Gvardiol,Manchester City,CB,Aerial Duel win percentage,56.8
