Player Name,Club,Position,Metric,Value
Leny Yoro,Manchester United,CB,Goals,0
Leny Yoro,Manchester United,CB,Assists,0
Leny Yoro,Manchester United,CB,Progressive Carries,19
Leny Yoro,Manchester United,CB,Progressive Passes,52
Leny Yoro,Manchester United,CB,Pass Completion - Short,95.4
Leny Yoro,Manchester United,CB,Pass Completion - Medium,94.1
Leny Yoro,Manchester United,CB,Pass Completion - Long,65.9
Leny Yoro,Manchester United,CB,Through Balls,2
Leny Yoro,Manchester United,CB,Switches,1
Leny Yoro,Manchester United,CB,Shot Creating Actions,9
Leny Yoro,Manchester United,CB,Tackles,29
Leny Yoro,Manchester United,CB,Challenges Lost,6
Leny Yoro,Manchester United,CB,Interceptions,18
Leny Yoro,Manchester United,CB,Errors,0
Leny Yoro,Manchester United,CB,Touches,894
Leny Yoro,Manchester United,CB,Miscontrols,3
Leny Yoro,Manchester United,CB,Dispossessed,4
Leny Yoro,Manchester United,CB,Yellow Cards,5
Leny Yoro,Manchester United,CB,Red Cards,0
Leny Yoro,Manchester United,CB,Fouls Committed,9
Leny Yoro,Manchester United,CB,Penalty kicks conceded,0
Leny Yoro,Manchester United,CB,Aerial Duel win percentage,50.0
