Player Name,Club,Position,Metric,Value
Marquinhos,Paris Saint-Germain,CB,Goals,2
Marquinhos,Paris Saint-Germain,CB,Assists,0
Marquinhos,Paris Saint-Germain,CB,Progressive Carries,29
Marquinhos,Paris Saint-Germain,CB,Progressive Passes,151
Marquinhos,Paris Saint-Germain,CB,Pass Completion - Short,97.2
Marquinhos,Paris Saint-Germain,CB,Pass Completion - Medium,97.4
Marquinhos,Paris Saint-Germain,CB,Pass Completion - Long,82.7
Marquinhos,Paris Saint-Germain,CB,Through Balls,3
Marquinhos,Paris Saint-Germain,CB,Switches,13
Marquinhos,Paris Saint-Germain,CB,Shot Creating Actions,31
Marquinhos,Paris Saint-Germain,CB,Tackles,30
Marquinhos,Paris Saint-Germain,CB,Challenges Lost,8
Marquinhos,Paris Saint-Germain,CB,Interceptions,11
Marquinhos,Paris Saint-Germain,CB,Errors,0
Marquinhos,Paris Saint-Germain,CB,Touches,1990
Marquinhos,Paris Saint-Germain,CB,Miscontrols,4
Marquinhos,Paris Saint-Germain,CB,Dispossessed,1
Marquinhos,Paris Saint-Germain,CB,Yellow Cards,3
Marquinhos,Paris Saint-Germain,CB,Red Cards,0
Marquinhos,Paris Saint-Germain,CB,Fouls Committed,18
Marquinhos,Paris Saint-Germain,CB,Penalty kicks conceded,1
Marquinhos,Paris Saint-Germain,CB,Aerial Duel win percentage,65.3
