Player Name,Club,Position,Metric,Value
Pau Cubarsí,Barcelona,CB,Goals,0
Pau Cubarsí,Barcelona,CB,Assists,3
Pau Cubarsí,Barcelona,CB,Progressive Carries,26
Pau Cubarsí,Barcelona,CB,Progressive Passes,191
Pau Cubarsí,Barcelona,CB,Pass Completion - Short,95.3
Pau Cubarsí,Barcelona,CB,Pass Completion - Medium,96.5
Pau Cubarsí,Barcelona,CB,Pass Completion - Long,77.7
Pau Cubarsí,Barcelona,CB,Through Balls,4
Pau Cubarsí,Barcelona,CB,Switches,7
Pau Cubarsí,Barcelona,CB,Shot Creating Actions,35
Pau Cubarsí,Barcelona,CB,Tackles,34
Pau Cubarsí,Barcelona,CB,Challenges Lost,11
Pau Cubarsí,Barcelona,CB,Interceptions,16
Pau Cubarsí,Barcelona,CB,Errors,1
Pau Cubarsí,Barcelona,CB,Touches,2805
Pau Cubarsí,Barcelona,CB,Miscontrols,7
Pau Cubarsí,Barcelona,CB,Dispossessed,1
Pau Cubarsí,Barcelona,CB,Yellow Cards,3
Pau Cubarsí,Barcelona,CB,Red Cards,0
Pau Cubarsí,Barcelona,CB,Fouls Committed,24
Pau Cubarsí,Barcelona,CB,Penalty kicks conceded,1
Pau Cubarsí,Barcelona,CB,Aerial Duel win percentage,58.5
