Player Name,Club,Position,Metric,Value
Stefan de Vrij,Internazionale,CB,Goals,3
Stefan de Vrij,Internazionale,CB,Assists,0
Stefan de Vrij,Internazionale,CB,Progressive Carries,11
Stefan de Vrij,Internazionale,CB,Progressive Passes,76
Stefan de Vrij,Internazionale,CB,Pass Completion - Short,94.8
Stefan de Vrij,Internazionale,CB,Pass Completion - Medium,95.6
Stefan de Vrij,Internazionale,CB,Pass Completion - Long,73.2
Stefan de Vrij,Internazionale,CB,Through Balls,2
Stefan de Vrij,Internazionale,CB,Switches,3
Stefan de Vrij,Internazionale,CB,Shot Creating Actions,14
Stefan de Vrij,Internazionale,CB,Tackles,18
Stefan de Vrij,Internazionale,CB,Challenges Lost,3
Stefan de Vrij,Internazionale,CB,Interceptions,23
Stefan de Vrij,Internazionale,CB,Errors,0
Stefan de Vrij,Internazionale,CB,Touches,1613
Stefan de Vrij,Internazionale,CB,Miscontrols,4
Stefan de Vrij,Internazionale,CB,Dispossessed,1
Stefan de Vrij,Internazionale,CB,Yellow Cards,2
Stefan de Vrij,Internazionale,CB,Red Cards,0
Stefan de Vrij,Internazionale,CB,Fouls Committed,9
Stefan de Vrij,Internazionale,CB,Penalty kicks conceded,0
Stefan de Vrij,Internazionale,CB,Aerial Duel win percentage,63.1
