Player Name,Club,Position,Metric,Value
Thiago Silva,Fluminense,CB,Goals,NA
Thiago Silva,Fluminense,CB,Assists,NA
Thiago Silva,Fluminense,CB,Progressive Carries,NA
Thiago Silva,Fluminense,CB,Progressive Passes,NA
Thiago Silva,Fluminense,CB,Pass Completion - Short,NA
Thiago Silva,Fluminense,CB,Pass Completion - Medium,NA
Thiago Silva,Fluminense,CB,Pass Completion - Long,NA
Thiago Silva,Fluminense,CB,Through Balls,NA
Thiago Silva,Fluminense,CB,Switches,NA
Thiago Silva,Fluminense,CB,Shot Creating Actions,NA
Thiago Silva,Fluminense,CB,Tackles,NA
Thiago Silva,Fluminense,CB,Challenges Lost,NA
Thiago Silva,Fluminense,CB,Interceptions,NA
Thiago Silva,Fluminense,CB,Errors,NA
Thiago Silva,Fluminense,CB,Touches,NA
Thiago Silva,Fluminense,CB,Miscontrols,NA
Thiago Silva,Fluminense,CB,Dispossessed,NA
Thiago Silva,Fluminense,CB,Yellow Cards,NA
Thiago Silva,Fluminense,CB,Red Cards,NA
Thiago Silva,Fluminense,CB,Fouls Committed,NA
Thiago Silva,Fluminense,CB,Penalty kicks conceded,NA
Thiago Silva,Fluminense,CB,Aerial Duel win percentage,NA
