Player Name,Club,Position,Metric,Value
Virgil van Dijk,Liverpool,CB,Goals,3
Virgil van Dijk,Liverpool,CB,Assists,1
Virgil van Dijk,Liverpool,CB,Progressive Carries,22
Virgil van Dijk,Liverpool,CB,Progressive Passes,198
Virgil van Dijk,Liverpool,CB,Pass Completion - Short,96.2
Virgil van Dijk,Liverpool,CB,Pass Completion - Medium,95.4
Virgil van Dijk,Liverpool,CB,Pass Completion - Long,67.2
Virgil van Dijk,Liverpool,CB,Through Balls,1
Virgil van Dijk,Liverpool,CB,Switches,22
Virgil van Dijk,Liverpool,CB,Shot Creating Actions,48
Virgil van Dijk,Liverpool,CB,Tackles,38
Virgil van Dijk,Liverpool,CB,Challenges Lost,9
Virgil van Dijk,Liverpool,CB,Interceptions,56
Virgil van Dijk,Liverpool,CB,Errors,4
Virgil van Dijk,Liverpool,CB,Touches,3300
Virgil van Dijk,Liverpool,CB,Miscontrols,10
Virgil van Dijk,Liverpool,CB,Dispossessed,5
Virgil van Dijk,Liverpool,CB,Yellow Cards,5
Virgil van Dijk,Liverpool,CB,Red Cards,0
Virgil van Dijk,Liverpool,CB,Fouls Committed,17
Virgil van Dijk,Liverpool,CB,Penalty kicks conceded,0
Virgil van Dijk,Liverpool,CB,Aerial Duel win percentage,72.1
