Player Name,Club,Position,Metric,Value
William Saliba,Arsenal,CB,Goals,2
William Saliba,Arsenal,CB,Assists,0
William Saliba,Arsenal,CB,Progressive Carries,16
William Saliba,Arsenal,CB,Progressive Passes,138
William Saliba,Arsenal,CB,Pass Completion - Short,95.8
William Saliba,Arsenal,CB,Pass Completion - Medium,96.1
William Saliba,Arsenal,CB,Pass Completion - Long,79.9
William Saliba,Arsenal,CB,Through Balls,1
William Saliba,Arsenal,CB,Switches,10
William Saliba,Arsenal,CB,Shot Creating Actions,27
William Saliba,Arsenal,CB,Tackles,62
William Saliba,Arsenal,CB,Challenges Lost,7
William Saliba,Arsenal,CB,Interceptions,21
William Saliba,Arsenal,CB,Errors,7
William Saliba,Arsenal,CB,Touches,2824
William Saliba,Arsenal,CB,Miscontrols,19
William Saliba,Arsenal,CB,Dispossessed,8
William Saliba,Arsenal,CB,Yellow Cards,2
William Saliba,Arsenal,CB,Red Cards,1
William Saliba,Arsenal,CB,Fouls Committed,28
William Saliba,Arsenal,CB,Penalty kicks conceded,1
William Saliba,Arsenal,CB,Aerial Duel win percentage,62.9
