Player Name,Club,Position,Metric,Value
Éder Militão,Real Madrid,CB,Goals,1
Éder Militão,Real Madrid,CB,Assists,1
Éder Militão,Real Madrid,CB,Progressive Carries,7
Éder Militão,Real Madrid,CB,Progressive Passes,46
Éder Militão,Real Madrid,CB,Pass Completion - Short,94.0
Éder Militão,Real Madrid,CB,Pass Completion - Medium,94.4
Éder Militão,Real Madrid,CB,Pass Completion - Long,65.5
Éder Militão,Real Madrid,CB,Through Balls,0
Éder Militão,Real Madrid,CB,Switches,15
Éder Militão,Real Madrid,CB,Shot Creating Actions,12
Éder Militão,Real Madrid,CB,Tackles,19
Éder Militão,Real Madrid,CB,Challenges Lost,5
Éder Militão,Real Madrid,CB,Interceptions,12
Éder Militão,Real Madrid,CB,Errors,0
Éder Militão,Real Madrid,CB,Touches,819
Éder Militão,Real Madrid,CB,Miscontrols,6
Éder Militão,Real Madrid,CB,Dispossessed,3
Éder Militão,Real Madrid,CB,Yellow Cards,2
Éder Militão,Real Madrid,CB,Red Cards,0
Éder Militão,Real Madrid,CB,Fouls Committed,18
Éder Militão,Real Madrid,CB,Penalty kicks conceded,0
Éder Militão,Real Madrid,CB,Aerial Duel win percentage,63.6
