Player Name,Club,Position,Metric,Value
Axel Witsel,Girona,Midfielder,Goals,0
Axel Witsel,Girona,Midfielder,Assists,1
Axel Witsel,Girona,Midfielder,NPG,0
Axel Witsel,Girona,Midfielder,XG,0.0
Axel Witsel,Girona,Midfielder,XA,0.5
Axel Witsel,Girona,Midfielder,Progressive passes,21
Axel Witsel,Girona,Midfielder,Progressive carries,2
Axel Witsel,Girona,Midfielder,Passes completed,494
Axel Witsel,Girona,Midfielder,Passes attempted,545
Axel Witsel,Girona,Midfielder,Key passes,2
Axel Witsel,Girona,Midfielder,Through balls,0
Axel Witsel,Girona,Midfielder,Switches,2
Axel Witsel,Girona,Midfielder,Crosses,0
Axel Witsel,Girona,Midfielder,Corners,0
Axel Witsel,Girona,Midfielder,Shot creating Actions,4
Axel Witsel,Girona,Midfielder,Goal Creating Actions,2
Axel Witsel,Girona,Midfielder,Tackles,16
Axel Witsel,Girona,Midfielder,Dribblers tackles,NA
Axel Witsel,Girona,Midfielder,Shots blocked,8
Axel Witsel,Girona,Midfielder,Blocks,15
Axel Witsel,Girona,Midfielder,Interceptions,11
Axel Witsel,Girona,Midfielder,Errors,1
Axel Witsel,Girona,Midfielder,Touches,645
Axel Witsel,Girona,Midfielder,Miscontrols,9
Axel Witsel,Girona,Midfielder,Dispossessed,0
Axel Witsel,Girona,Midfielder,Yellow Cards,1
Axel Witsel,Girona,Midfielder,Red Cards,0
Axel Witsel,Girona,Midfielder,Fouls committed,4
Axel Witsel,Girona,Midfielder,Aerials Won,23
