Player Name,Club,Position,Metric,Value
Boubacar Kamara,Aston Villa,Midfielder,Goals,0
Boubacar Kamara,Aston Villa,Midfielder,Assists,0
Boubacar Kamara,Aston Villa,Midfielder,NPG,0
Boubacar Kamara,Aston Villa,Midfielder,XG,0.8
Boubacar Kamara,Aston Villa,Midfielder,XA,0.9
Boubacar Kamara,Aston Villa,Midfielder,Progressive passes,85
Boubacar Kamara,Aston Villa,Midfielder,Progressive carries,19
Boubacar Kamara,Aston Villa,Midfielder,Passes completed,825
Boubacar Kamara,Aston Villa,Midfielder,Passes attempted,931
Boubacar Kamara,Aston Villa,Midfielder,Key passes,11
Boubacar Kamara,Aston Villa,Midfielder,Through balls,5
Boubacar Kamara,Aston Villa,Midfielder,Switches,0
Boubacar Kamara,Aston Villa,Midfielder,Crosses,1
Boubacar Kamara,Aston Villa,Midfielder,Corners,0
Boubacar Kamara,Aston Villa,Midfielder,Shot creating Actions,27
Boubacar Kamara,Aston Villa,Midfielder,Goal Creating Actions,2
Boubacar Kamara,Aston Villa,Midfielder,Tackles,50
Boubacar Kamara,Aston Villa,Midfielder,Dribblers tackles,NA
Boubacar Kamara,Aston Villa,Midfielder,Shots blocked,7
Boubacar Kamara,Aston Villa,Midfielder,Blocks,19
Boubacar Kamara,Aston Villa,Midfielder,Interceptions,19
Boubacar Kamara,Aston Villa,Midfielder,Errors,3
Boubacar Kamara,Aston Villa,Midfielder,Touches,1113
Boubacar Kamara,Aston Villa,Midfielder,Miscontrols,12
Boubacar Kamara,Aston Villa,Midfielder,Dispossessed,17
Boubacar Kamara,Aston Villa,Midfielder,Yellow Cards,0
Boubacar Kamara,Aston Villa,Midfielder,Red Cards,0
Boubacar Kamara,Aston Villa,Midfielder,Fouls committed,30
Boubacar Kamara,Aston Villa,Midfielder,Aerials Won,21
