Player Name,Club,Position,Metric,Value
Casemiro,Manchester United,Midfielder,Goals,1
Casemiro,Manchester United,Midfielder,Assists,0
Casemiro,Manchester United,Midfielder,NPG,1
Casemiro,Manchester United,Midfielder,XG,1.9
Casemiro,Manchester United,Midfielder,XA,2.3
Casemiro,Manchester United,Midfielder,Progressive passes,84
Casemiro,Manchester United,Midfielder,Progressive carries,4
Casemiro,Manchester United,Midfielder,Passes completed,780
Casemiro,Manchester United,Midfielder,Passes attempted,990
Casemiro,Manchester United,Midfielder,Key passes,22
Casemiro,Manchester United,Midfielder,Through balls,9
Casemiro,Manchester United,Midfielder,Switches,9
Casemiro,Manchester United,Midfielder,Crosses,20
Casemiro,Manchester United,Midfielder,Corners,0
Casemiro,Manchester United,Midfielder,Shot creating Actions,53
Casemiro,Manchester United,Midfielder,Goal Creating Actions,4
Casemiro,Manchester United,Midfielder,Tackles,83
Casemiro,Manchester United,Midfielder,Dribblers tackles,NA
Casemiro,Manchester United,Midfielder,Shots blocked,10
Casemiro,Manchester United,Midfielder,Blocks,39
Casemiro,Manchester United,Midfielder,Interceptions,14
Casemiro,Manchester United,Midfielder,Errors,3
Casemiro,Manchester United,Midfielder,Touches,1250
Casemiro,Manchester United,Midfielder,Miscontrols,12
Casemiro,Manchester United,Midfielder,Dispossessed,10
Casemiro,Manchester United,Midfielder,Yellow Cards,5
Casemiro,Manchester United,Midfielder,Red Cards,0
Casemiro,Manchester United,Midfielder,Fouls committed,20
Casemiro,Manchester United,Midfielder,Aerials Won,36
