Player Name,Club,Position,Metric,Value
Declan Rice,Arsenal,Midfielder,Goals,4
Declan Rice,Arsenal,Midfielder,Assists,7
Declan Rice,Arsenal,Midfielder,NPG,4
Declan Rice,Arsenal,Midfielder,XG,3.5
Declan Rice,Arsenal,Midfielder,XA,6.6
Declan Rice,Arsenal,Midfielder,Progressive passes,192
Declan Rice,Arsenal,Midfielder,Progressive carries,90
Declan Rice,Arsenal,Midfielder,Passes completed,1376
Declan Rice,Arsenal,Midfielder,Passes attempted,1650
Declan Rice,Arsenal,Midfielder,Key passes,59
Declan Rice,Arsenal,Midfielder,Through balls,5
Declan Rice,Arsenal,Midfielder,Switches,17
Declan Rice,Arsenal,Midfielder,Crosses,164
Declan Rice,Arsenal,Midfielder,Corners,108
Declan Rice,Arsenal,Midfielder,Shot creating Actions,111
Declan Rice,Arsenal,Midfielder,Goal Creating Actions,10
Declan Rice,Arsenal,Midfielder,Tackles,53
Declan Rice,Arsenal,Midfielder,Dribblers tackles,NA
Declan Rice,Arsenal,Midfielder,Shots blocked,13
Declan Rice,Arsenal,Midfielder,Blocks,27
Declan Rice,Arsenal,Midfielder,Interceptions,25
Declan Rice,Arsenal,Midfielder,Errors,0
Declan Rice,Arsenal,Midfielder,Touches,1948
Declan Rice,Arsenal,Midfielder,Miscontrols,36
Declan Rice,Arsenal,Midfielder,Dispossessed,32
Declan Rice,Arsenal,Midfielder,Yellow Cards,7
Declan Rice,Arsenal,Midfielder,Red Cards,1
Declan Rice,Arsenal,Midfielder,Fouls committed,21
Declan Rice,Arsenal,Midfielder,Aerials Won,37
