Player Name,Club,Position,Metric,Value
Denis Zakaria,Monaco,Midfielder,Goals,6
Denis Zakaria,Monaco,Midfielder,Assists,4
Denis Zakaria,Monaco,Midfielder,NPG,4
Denis Zakaria,Monaco,Midfielder,XG,5.2
Denis Zakaria,Monaco,Midfielder,XA,1.4
Denis Zakaria,Monaco,Midfielder,Progressive passes,113
Denis Zakaria,Monaco,Midfielder,Progressive carries,27
Denis Zakaria,Monaco,Midfielder,Passes completed,1062
Denis Zakaria,Monaco,Midfielder,Passes attempted,1175
Denis Zakaria,Monaco,Midfielder,Key passes,16
Denis Zakaria,Monaco,Midfielder,Through balls,4
Denis Zakaria,Monaco,Midfielder,Switches,2
Denis Zakaria,Monaco,Midfielder,Crosses,7
Denis Zakaria,Monaco,Midfielder,Corners,0
Denis Zakaria,Monaco,Midfielder,Shot creating Actions,52
Denis Zakaria,Monaco,Midfielder,Goal Creating Actions,10
Denis Zakaria,Monaco,Midfielder,Tackles,41
Denis Zakaria,Monaco,Midfielder,Dribblers tackles,NA
Denis Zakaria,Monaco,Midfielder,Shots blocked,8
Denis Zakaria,Monaco,Midfielder,Blocks,31
Denis Zakaria,Monaco,Midfielder,Interceptions,34
Denis Zakaria,Monaco,Midfielder,Errors,1
Denis Zakaria,Monaco,Midfielder,Touches,1425
Denis Zakaria,Monaco,Midfielder,Miscontrols,35
Denis Zakaria,Monaco,Midfielder,Dispossessed,23
Denis Zakaria,Monaco,Midfielder,Yellow Cards,5
Denis Zakaria,Monaco,Midfielder,Red Cards,0
Denis Zakaria,Monaco,Midfielder,Fouls committed,32
Denis Zakaria,Monaco,Midfielder,Aerials Won,18
