Player Name,Club,Position,Metric,Value
Joshua Kimmich,Bayern Munich,Midfielder,Goals,3
Joshua Kimmich,Bayern Munich,Midfielder,Assists,7
Joshua Kimmich,Bayern Munich,Midfielder,NPG,3
Joshua Kimmich,Bayern Munich,Midfielder,XG,1.8
Joshua Kimmich,Bayern Munich,Midfielder,XA,7.4
Joshua Kimmich,Bayern Munich,Midfielder,Progressive passes,362
Joshua Kimmich,Bayern Munich,Midfielder,Progressive carries,51
Joshua Kimmich,Bayern Munich,Midfielder,Passes completed,3269
Joshua Kimmich,Bayern Munich,Midfielder,Passes attempted,3652
Joshua Kimmich,Bayern Munich,Midfielder,Key passes,83
Joshua Kimmich,Bayern Munich,Midfielder,Through balls,21
Joshua Kimmich,Bayern Munich,Midfielder,Switches,42
Joshua Kimmich,Bayern Munich,Midfielder,Crosses,176
Joshua Kimmich,Bayern Munich,Midfielder,Corners,117
Joshua Kimmich,Bayern Munich,Midfielder,Shot creating Actions,159
Joshua Kimmich,Bayern Munich,Midfielder,Goal Creating Actions,18
Joshua Kimmich,Bayern Munich,Midfielder,Tackles,47
Joshua Kimmich,Bayern Munich,Midfielder,Dribblers tackles,NA
Joshua Kimmich,Bayern Munich,Midfielder,Shots blocked,3
Joshua Kimmich,Bayern Munich,Midfielder,Blocks,23
Joshua Kimmich,Bayern Munich,Midfielder,Interceptions,25
Joshua Kimmich,Bayern Munich,Midfielder,Errors,3
Joshua Kimmich,Bayern Munich,Midfielder,Touches,3867
Joshua Kimmich,Bayern Munich,Midfielder,Miscontrols,21
Joshua Kimmich,Bayern Munich,Midfielder,Dispossessed,7
Joshua Kimmich,Bayern Munich,Midfielder,Yellow Cards,4
Joshua Kimmich,Bayern Munich,Midfielder,Red Cards,0
Joshua Kimmich,Bayern Munich,Midfielder,Fouls committed,15
Joshua Kimmich,Bayern Munich,Midfielder,Aerials Won,12
