Player Name,Club,Position,Metric,Value
Marcel Sabitzer,Dortmund,Midfielder,Goals,1
Marcel Sabitzer,Dortmund,Midfielder,Assists,0
Marcel Sabitzer,Dortmund,Midfielder,NPG,1
Marcel Sabitzer,Dortmund,Midfielder,XG,1.8
Marcel Sabitzer,Dortmund,Midfielder,XA,1.6
Marcel Sabitzer,Dortmund,Midfielder,Progressive passes,97
Marcel Sabitzer,Dortmund,Midfielder,Progressive carries,24
Marcel Sabitzer,Dortmund,Midfielder,Passes completed,728
Marcel Sabitzer,Dortmund,Midfielder,Passes attempted,858
Marcel Sabitzer,Dortmund,Midfielder,Key passes,12
Marcel Sabitzer,Dortmund,Midfielder,Through balls,4
Marcel Sabitzer,Dortmund,Midfielder,Switches,3
Marcel Sabitzer,Dortmund,Midfielder,Crosses,23
Marcel Sabitzer,Dortmund,Midfielder,Corners,0
Marcel Sabitzer,Dortmund,Midfielder,Shot creating Actions,42
Marcel Sabitzer,Dortmund,Midfielder,Goal Creating Actions,6
Marcel Sabitzer,Dortmund,Midfielder,Tackles,29
Marcel Sabitzer,Dortmund,Midfielder,Dribblers tackles,NA
Marcel Sabitzer,Dortmund,Midfielder,Shots blocked,6
Marcel Sabitzer,Dortmund,Midfielder,Blocks,19
Marcel Sabitzer,Dortmund,Midfielder,Interceptions,10
Marcel Sabitzer,Dortmund,Midfielder,Errors,1
Marcel Sabitzer,Dortmund,Midfielder,Touches,1028
Marcel Sabitzer,Dortmund,Midfielder,Miscontrols,22
Marcel Sabitzer,Dortmund,Midfielder,Dispossessed,12
Marcel Sabitzer,Dortmund,Midfielder,Yellow Cards,3
Marcel Sabitzer,Dortmund,Midfielder,Red Cards,0
Marcel Sabitzer,Dortmund,Midfielder,Fouls committed,12
Marcel Sabitzer,Dortmund,Midfielder,Aerials Won,17
