Player Name,Club,Position,Metric,Value
Rodri,Manchester City,Midfielder,Goals,0
Rodri,Manchester City,Midfielder,Assists,0
Rodri,Manchester City,Midfielder,NPG,0
Rodri,Manchester City,Midfielder,XG,0.0
Rodri,Manchester City,Midfielder,XA,0.0
Rodri,Manchester City,Midfielder,Progressive passes,4
Rodri,Manchester City,Midfielder,Progressive carries,1
Rodri,Manchester City,Midfielder,Passes completed,64
Rodri,Manchester City,Midfielder,Passes attempted,68
Rodri,Manchester City,Midfielder,Key passes,1
Rodri,Manchester City,Midfielder,Through balls,0
Rodri,Manchester City,Midfielder,Switches,0
Rodri,Manchester City,Midfielder,Crosses,0
Rodri,Manchester City,Midfielder,Corners,0
Rodri,Manchester City,Midfielder,Shot creating Actions,2
Rodri,Manchester City,Midfielder,Goal Creating Actions,0
Rodri,Manchester City,Midfielder,Tackles,2
Rodri,Manchester City,Midfielder,Dribblers tackles,NA
Rodri,Manchester City,Midfielder,Shots blocked,0
Rodri,Manchester City,Midfielder,Blocks,1
Rodri,Manchester City,Midfielder,Interceptions,1
Rodri,Manchester City,Midfielder,Errors,0
Rodri,Manchester City,Midfielder,Touches,74
Rodri,Manchester City,Midfielder,Miscontrols,0
Rodri,Manchester City,Midfielder,Dispossessed,0
Rodri,Manchester City,Midfielder,Yellow Cards,0
Rodri,Manchester City,Midfielder,Red Cards,0
Rodri,Manchester City,Midfielder,Fouls committed,1
Rodri,Manchester City,Midfielder,Aerials Won,1
