Player Name,Club,Position,Metric,Value
Rodrigo De Paul,Inter Miami,Midfielder,Goals,3
Rodrigo De Paul,Inter Miami,Midfielder,Assists,5
Rodrigo De Paul,Inter Miami,Midfielder,NPG,3
Rodrigo De Paul,Inter Miami,Midfielder,XG,1.3
Rodrigo De Paul,Inter Miami,Midfielder,XA,5.6
Rodrigo De Paul,Inter Miami,Midfielder,Progressive passes,231
Rodrigo De Paul,Inter Miami,Midfielder,Progressive carries,85
Rodrigo De Paul,Inter Miami,Midfielder,Passes completed,1449
Rodrigo De Paul,Inter Miami,Midfielder,Passes attempted,1773
Rodrigo De Paul,Inter Miami,Midfielder,Key passes,42
Rodrigo De Paul,Inter Miami,Midfielder,Through balls,27
Rodrigo De Paul,Inter Miami,Midfielder,Switches,14
Rodrigo De Paul,Inter Miami,Midfielder,Crosses,59
Rodrigo De Paul,Inter Miami,Midfielder,Corners,12
Rodrigo De Paul,Inter Miami,Midfielder,Shot creating Actions,90
Rodrigo De Paul,Inter Miami,Midfielder,Goal Creating Actions,13
Rodrigo De Paul,Inter Miami,Midfielder,Tackles,33
Rodrigo De Paul,Inter Miami,Midfielder,Dribblers tackles,NA
Rodrigo De Paul,Inter Miami,Midfielder,Shots blocked,2
Rodrigo De Paul,Inter Miami,Midfielder,Blocks,25
Rodrigo De Paul,Inter Miami,Midfielder,Interceptions,6
Rodrigo De Paul,Inter Miami,Midfielder,Errors,3
Rodrigo De Paul,Inter Miami,Midfielder,Touches,1950
Rodrigo De Paul,Inter Miami,Midfielder,Miscontrols,33
Rodrigo De Paul,Inter Miami,Midfielder,Dispossessed,24
Rodrigo De Paul,Inter Miami,Midfielder,Yellow Cards,7
Rodrigo De Paul,Inter Miami,Midfielder,Red Cards,0
Rodrigo De Paul,Inter Miami,Midfielder,Fouls committed,19
Rodrigo De Paul,Inter Miami,Midfielder,Aerials Won,4
