Player Name,Club,Position,Metric,Value
Roméo Lavia,Chelsea,Midfielder,Goals,0
Roméo Lavia,Chelsea,Midfielder,Assists,1
Roméo Lavia,Chelsea,Midfielder,NPG,0
Roméo Lavia,Chelsea,Midfielder,XG,0.3
Roméo Lavia,Chelsea,Midfielder,XA,0.7
Roméo Lavia,Chelsea,Midfielder,Progressive passes,31
Roméo Lavia,Chelsea,Midfielder,Progressive carries,3
Roméo Lavia,Chelsea,Midfielder,Passes completed,389
Roméo Lavia,Chelsea,Midfielder,Passes attempted,424
Roméo Lavia,Chelsea,Midfielder,Key passes,7
Roméo Lavia,Chelsea,Midfielder,Through balls,3
Roméo Lavia,Chelsea,Midfielder,Switches,3
Roméo Lavia,Chelsea,Midfielder,Crosses,0
Roméo Lavia,Chelsea,Midfielder,Corners,0
Roméo Lavia,Chelsea,Midfielder,Shot creating Actions,14
Roméo Lavia,Chelsea,Midfielder,Goal Creating Actions,2
Roméo Lavia,Chelsea,Midfielder,Tackles,22
Roméo Lavia,Chelsea,Midfielder,Dribblers tackles,NA
Roméo Lavia,Chelsea,Midfielder,Shots blocked,0
Roméo Lavia,Chelsea,Midfielder,Blocks,6
Roméo Lavia,Chelsea,Midfielder,Interceptions,16
Roméo Lavia,Chelsea,Midfielder,Errors,1
Roméo Lavia,Chelsea,Midfielder,Touches,493
Roméo Lavia,Chelsea,Midfielder,Miscontrols,3
Roméo Lavia,Chelsea,Midfielder,Dispossessed,7
Roméo Lavia,Chelsea,Midfielder,Yellow Cards,4
Roméo Lavia,Chelsea,Midfielder,Red Cards,0
Roméo Lavia,Chelsea,Midfielder,Fouls committed,16
Roméo Lavia,Chelsea,Midfielder,Aerials Won,12
