Player Name,Club,Position,Metric,Value
Sofyan Amrabat,Real Betis,Midfielder,Goals,0
Sofyan Amrabat,Real Betis,Midfielder,Assists,0
Sofyan Amrabat,Real Betis,Midfielder,NPG,0
Sofyan Amrabat,Real Betis,Midfielder,XG,0.0
Sofyan Amrabat,Real Betis,Midfielder,XA,0.1
Sofyan Amrabat,Real Betis,Midfielder,Progressive passes,14
Sofyan Amrabat,Real Betis,Midfielder,Progressive carries,2
Sofyan Amrabat,Real Betis,Midfielder,Passes completed,112
Sofyan Amrabat,Real Betis,Midfielder,Passes attempted,133
Sofyan Amrabat,Real Betis,Midfielder,Key passes,2
Sofyan Amrabat,Real Betis,Midfielder,Through balls,0
Sofyan Amrabat,Real Betis,Midfielder,Switches,4
Sofyan Amrabat,Real Betis,Midfielder,Crosses,3
Sofyan Amrabat,Real Betis,Midfielder,Corners,0
Sofyan Amrabat,Real Betis,Midfielder,Shot creating Actions,4
Sofyan Amrabat,Real Betis,Midfielder,Goal Creating Actions,0
Sofyan Amrabat,Real Betis,Midfielder,Tackles,3
Sofyan Amrabat,Real Betis,Midfielder,Dribblers tackles,NA
Sofyan Amrabat,Real Betis,Midfielder,Shots blocked,1
Sofyan Amrabat,Real Betis,Midfielder,Blocks,1
Sofyan Amrabat,Real Betis,Midfielder,Interceptions,0
Sofyan Amrabat,Real Betis,Midfielder,Errors,0
Sofyan Amrabat,Real Betis,Midfielder,Touches,140
Sofyan Amrabat,Real Betis,Midfielder,Miscontrols,1
Sofyan Amrabat,Real Betis,Midfielder,Dispossessed,2
Sofyan Amrabat,Real Betis,Midfielder,Yellow Cards,0
Sofyan Amrabat,Real Betis,Midfielder,Red Cards,0
Sofyan Amrabat,Real Betis,Midfielder,Fouls committed,4
Sofyan Amrabat,Real Betis,Midfielder,Aerials Won,1
