Player Name,Club,Position,Metric,Value
Thomas Delaney,FC Copenhagen,Midfielder,Goals,5
Thomas Delaney,FC Copenhagen,Midfielder,Assists,3
Thomas Delaney,FC Copenhagen,Midfielder,NPG,5
Thomas Delaney,FC Copenhagen,Midfielder,XG,NA
Thomas Delaney,FC Copenhagen,Midfielder,XA,NA
Thomas Delaney,FC Copenhagen,Midfielder,Progressive passes,NA
Thomas Delaney,FC Copenhagen,Midfielder,Progressive carries,NA
Thomas Delaney,FC Copenhagen,Midfielder,Passes completed,NA
Thomas Delaney,FC Copenhagen,Midfielder,Passes attempted,NA
Thomas Delaney,FC Copenhagen,Midfielder,Key passes,NA
Thomas Delaney,FC Copenhagen,Midfielder,Through balls,NA
Thomas Delaney,FC Copenhagen,Midfielder,Switches,NA
Thomas Delaney,FC Copenhagen,Midfielder,Crosses,14
Thomas Delaney,FC Copenhagen,Midfielder,Corners,NA
Thomas Delaney,FC Copenhagen,Midfielder,Shot creating Actions,NA
Thomas Delaney,FC Copenhagen,Midfielder,Goal Creating Actions,NA
Thomas Delaney,FC Copenhagen,Midfielder,Tackles,25
Thomas Delaney,FC Copenhagen,Midfielder,Dribblers tackles,NA
Thomas Delaney,FC Copenhagen,Midfielder,Shots blocked,NA
Thomas Delaney,FC Copenhagen,Midfielder,Blocks,NA
Thomas Delaney,FC Copenhagen,Midfielder,Interceptions,34
Thomas Delaney,FC Copenhagen,Midfielder,Errors,NA
Thomas Delaney,FC Copenhagen,Midfielder,Touches,NA
Thomas Delaney,FC Copenhagen,Midfielder,Miscontrols,NA
Thomas Delaney,FC Copenhagen,Midfielder,Dispossessed,NA
Thomas Delaney,FC Copenhagen,Midfielder,Yellow Cards,8
Thomas Delaney,FC Copenhagen,Midfielder,Red Cards,0
Thomas Delaney,FC Copenhagen,Midfielder,Fouls committed,41
Thomas Delaney,FC Copenhagen,Midfielder,Aerials Won,NA
